SMILES,MDEO-22,SC-4,C1SP3,SCH-5,ATSm4,TopoPSA,MDEN-23,SC-5,SCH-6,ATSm5,Zagreb,MDEC-23,SCH-7,ATSc1,ATSc2,khs.sCl,khs.ssCH2,ATSp1,khs.ssO,Kier1,ATSc3,ATSp2,Kier2,ATSc4,C2SP2,Kier3,C2SP3,ATSc5,khs.aasC,VP-0,ATSp3,VP-1,WPATH,khs.dsN,ATSp4,SPC-4,MDEO-11,VP-3,ATSp5,khs.sssN,SPC-5,MDEN-33,SP-0,VP-4,SPC-6,MDEC-12,MDEC-33,MDEO-12,SP-1,VP-5,khs.dO,MDEC-13,SP-2,khs.sssCH,VP-6,VPC-4,VP-7,VCH-5,VPC-5,ECCEN,SP-3,VC-3,VPC-6,SP-4,VCH-6,VC-4,fragC,SP-5,VCH-7,VC-5,SP-6,ATSm1,WPOL,khs.ddsN,SP-7,ATSm2,SC-3,C1SP2,ATSm3,khs.aaCH
InChI%3D1S%2FC20H18ClNO6%2Fc1-10-7-12-14%2821%299-13%2817%2823%2916%2812%2920%2827%2928-10%2918%2824%2922-15%2819%2825%2926%298-11-5-3-2-4-6-11%2Fh2-6%2C9-10%2C15%2C23H%2C7-8H2%2C1H3%2C%28H%2C22%2C24%29%28H%2C25%2C26%29,0.0,0.0,1.0,0.0,59.1099891662598,116.419998168945,0.0,0.625762522220612,0.202978551387787,62.662036895752,146.0,17.8811626434326,0.422605067491531,0.726965606212616,-0.352679580450058,1.0,2.0,1849.86596679688,1.0,22.6800003051758,0.0549180395901203,2181.7900390625,9.87128162384033,-0.0242920722812414,8.0,5.38903045654297,4.0,-0.11285687237978,6.0,15.6805086135864,3080.41528320312,8.94531059265137,2061.0,1.0,3280.7109375,4.99356889724731,1.87071561813354,4.77017259597778,2949.25024414062,0.0,7.97306680679321,0.0,20.4219207763672,3.36330151557922,12.3901224136353,0.91525650024414,16.7636432647705,0.957248628139496,13.2737646102905,2.37065768241882,2.0,2.30004644393921,12.4878435134888,2.0,1.20155489444733,1.79032766819,0.686477243900299,0.0,2.40507578849792,634.0,9.9665355682373,0.962798416614532,3.11953163146973,8.4501428604126,0.0709505453705788,0.0,1548.07995605469,6.88363075256348,0.132178902626038,0.151590794324875,4.27321147918701,40.719554901123,47.0,0.0,2.85468578338623,34.6087532043457,2.27563285827637,3.0,52.4932632446289,6.0
InChI%3D1S%2FC4H10N2O3%2Fc1-6%285-9%292-4%288%293-7%2Fh4%2C7-8H%2C2-3H2%2C1H3,0.0,0.0,2.0,0.0,10.6565818786621,73.129997253418,1.0,0.0,0.0,7.93730115890503,34.0,2.0,0.0,0.253093600273132,-0.0632299184799194,,2.0,274.317718505859,0.0,9.0,-0.078432209789753,274.027954101562,4.83950614929199,0.0158358979970217,0.0,4.5,1.0,0.00314717483706772,0.0,5.18866634368896,291.339630126953,2.53693866729736,100.0,1.0,225.49836730957,0.910683631896973,0.669432938098907,0.825106739997864,153.703948974609,1.0,0.902368903160095,0.0,7.27602100372314,0.396067321300507,0.922589004039764,0.70710676908493,0.0,0.0,4.20190715789795,0.122032262384892,1.0,0.333333343267441,3.26254224777222,1.0,0.0105409258976579,0.254854738712311,0.0,0.0,0.236957997083664,72.0,2.19858479499817,0.270520806312561,0.138024941086769,1.02022004127502,0.0,0.0,252.050003051758,0.569035589694977,0.0,0.0,0.117851130664349,12.0433835983276,8.0,0.0,0.0,9.91000843048096,0.577350258827209,0.0,11.0482978820801,0.0
InChI%3D1S%2FC11H11N5%2Fc1-6-5-13-7-3-4-8-10%289%287%2914-6%2915-11%2812%2916%288%292%2Fh3-5H%2C1-2H3%2C%28H2%2C12%2C15%29,0.0,0.0,1.0,0.078567422926426,29.8803844451904,64.9000015258789,0.877205312252045,0.393802672624588,0.381648242473602,22.0494575500488,90.0,6.98857831954956,0.715386986732483,0.300049245357513,-0.193178653717041,0.0,0.0,1084.53771972656,0.0,11.1111106872559,-0.0100867655128241,1310.79309082031,4.03292179107666,0.0310797151178122,7.0,1.76454293727875,0.0,0.032345786690712,3.0,9.07369136810303,1947.7099609375,5.02280521392822,390.0,0.0,1839.71667480469,3.26379370689392,0.0,2.75342798233032,1317.435546875,1.0,5.12007713317871,0.0,11.2840929031372,1.88050019741058,7.59804582595825,1.44903707504272,6.63197565078735,0.0,7.66470384597778,1.29223620891571,0.0,3.57098054885864,7.31932067871094,0.0,0.734294235706329,1.09627652168274,0.419887095689774,0.0279508493840694,1.42181015014648,197.0,6.49783277511597,0.544305682182312,1.67777323722839,5.37681531906128,0.107306219637394,0.0,601.049987792969,4.59739637374878,0.158119574189186,0.104772321879864,3.23006272315979,17.7999401092529,27.0,0.0,2.27184391021729,19.6618518829346,1.29174244403839,1.0,29.9080028533936,3.0
InChI%3D1S%2FC5H10Br2O2%2Fc6-1-5%282-7%2C3-8%294-9%2Fh8-9H%2C1-4H2,0.0,0.125,4.0,0.0,47.9086036682129,40.4599990844727,0.0,0.0,0.0,81.4804611206055,36.0,0.0,0.0,0.238225370645523,-0.0544596798717976,0.0,4.0,602.619079589844,0.0,9.0,0.0673163533210754,622.653137207031,3.92000007629395,-0.313291847705841,0.0,2.0,0.0,0.181322500109673,0.0,8.15077590942383,749.134826660156,4.82412958145142,88.0,0.0,653.450317382812,2.12132024765015,0.25,3.6167619228363,225.708770751953,0.0,2.62132024765015,0.0,7.3284273147583,1.89259576797485,0.0,0.0,0.0,0.0,4.24264049530029,0.0,0.0,0.0,2.91421365737915,0.0,0.0,2.5574369430542,0.0,0.0,3.27932834625244,48.0,3.0,0.70710676908493,0.0,1.5,0.0,0.125,252.039993286133,0.0,0.0,0.0,0.0,97.0651168823242,12.0,0.0,0.0,19.9695358276367,0.70710676908493,0.0,21.9695358276367,0.0
InChI%3D1S%2FC16H16N4O4S%2Fc21-9-7-19%288-10-22%2916-11-3-1-2-4-12%2811%2917-15%2818-16%2913-5-6-14%2825-13%2920%2823%2924%2Fh1-6%2C21-22H%2C7-10H2,0.0,0.0,4.0,0.117851130664349,52.4374351501465,143.539993286133,1.06365919113159,0.441638320684433,0.274971663951874,48.5167007446289,128.0,16.6691360473633,0.521347045898438,0.480923444032669,-0.236131325364113,0.0,5.0,1819.88635253906,0.0,19.7530860900879,-0.0289346762001514,2170.0224609375,9.27392292022705,0.124416038393974,7.0,4.646399974823,1.0,-0.133937880396843,2.0,14.0170516967773,3062.677734375,8.43447875976562,1453.0,0.0,3129.35107421875,3.68395328521729,0.801725924015045,4.64748382568359,3038.03564453125,1.0,5.71374607086182,0.142857149243355,17.8111896514893,3.2766969203949,8.25113487243652,0.0,6.07259321212769,0.0,12.134560585022,2.07356119155884,2.0,0.0,10.5183887481689,0.0,1.25968253612518,1.58810973167419,0.75514817237854,0.102062076330185,2.07750344276428,454.0,8.74588203430176,0.720680296421051,2.29982614517212,7.4295015335083,0.136952355504036,0.0,1336.08996582031,6.05354070663452,0.158318534493446,0.11977531015873,4.52721548080444,35.6655807495117,39.0,1.0,3.21356129646301,33.4401702880859,1.43883216381073,3.0,48.4412994384766,4.0
InChI%3D1S%2FC6H4N4O4%2Fc7-6-9-8-5%2814-6%293-1-2-4%2813-3%2910%2811%2912%2Fh1-2H%2C%28H2%2C7%2C9%29,0.333333343267441,0.0,2.0,0.235702261328697,21.0640640258789,,0.365148365497589,0.25,0.321975260972977,17.7090358734131,72.0,3.69772696495056,0.435857951641083,0.493952929973602,-0.286350935697556,0.0,0.0,575.035888671875,1.0,10.5155553817749,-0.0646698474884033,667.781494140625,4.24489784240723,0.292658805847168,0.0,2.34319519996643,3.0,-0.247293889522552,2.0,6.81225776672363,914.364440917969,3.67486381530762,310.0,0.0,651.739013671875,2.28916168212891,0.5,1.60345101356506,553.567321777344,0.0,2.90863704681396,0.0,10.1293916702271,1.0183277130127,3.23302745819092,0.0,2.52506470680237,0.942809045314789,6.66470384597778,0.504290342330933,2.0,0.0,6.25553274154663,1.0,0.264328092336655,0.443629264831543,0.114575482904911,0.0634834766387939,0.506465673446655,181.0,4.85859775543213,0.267970412969589,0.414641737937927,3.76564860343933,0.0643191561102867,0.0,259.079986572266,2.46063017845154,0.060931321233511,0.0226729940623045,1.74958980083466,18.5378284454346,16.0,1.0,0.952015101909637,18.4600296020508,1.12200844287872,0.0,27.0056133270264,2.0
InChI%3D1S%2FC8H8N4O4%2Fc13-8-9-3-4-11%288%2910-5-6-1-2-7%2816-6%2912%2814%2915%2Fh1-2%2C5H%2C3-4H2%2C%28H%2C9%2C13%29,0.0,0.0,3.0,0.235702261328697,23.1751518249512,107.150001525879,1.33748066425323,0.284517794847488,0.352559179067612,17.0448513031006,80.0,5.47991371154785,0.385379761457443,0.509424567222595,-0.263898819684982,0.0,2.0,685.599182128906,0.0,12.4567470550537,-0.0846107676625252,779.334838867188,5.55765581130981,0.205719798803329,0.0,3.25,3.0,-0.041251003742218,2.0,8.10707759857178,1023.40362548828,4.45783710479736,491.0,2.0,745.325378417969,2.44556045532227,0.550321221351624,1.91279399394989,600.862182617188,1.0,2.89950346946716,0.16666667163372,11.5436058044434,1.17203521728516,2.66218137741089,0.0,0.825481832027435,0.793700516223907,7.66470384597778,0.501133918762207,2.0,0.0,6.92879199981689,0.0,0.250138759613037,0.477594941854477,0.120307706296444,0.0840206891298294,0.515789449214935,244.0,5.50942230224609,0.273445844650269,0.321066826581955,4.08218955993652,0.0795777291059494,0.0,385.079986572266,2.47233748435974,0.0529007539153099,0.0229262411594391,1.69861924648285,20.5378284454346,18.0,1.0,0.947890520095825,20.4603080749512,1.10649311542511,1.0,28.6186122894287,2.0
InChI%3D1S%2FC21H27NO7%2Fc1-6-15-11-13%282%2921%284%2C29-14%283%2923%2920%2826%2927-12-16-7-9-22%285%2910-8-17%2818%2816%2924%2928-19%2815%2925%2Fh6-7%2C11%2C13%2C17H%2C1%2C8-10%2C12H2%2C2-5H3,0.669432938098907,0.117851130664349,6.0,0.0,63.2976188659668,,0.0,1.00134527683258,0.0,67.9626083374023,146.0,15.4479932785034,0.0,1.06188428401947,-0.586754024028778,0.0,4.0,1997.90466308594,3.0,25.2622222900391,0.0344698429107666,2302.00048828125,11.0394811630249,0.22231836616993,4.0,6.49108362197876,2.0,-0.341304391622543,0.0,17.227237701416,3175.60766601562,9.41939735412598,1982.0,0.0,3828.041015625,6.31597709655762,0.922707974910736,5.15448951721191,3968.08642578125,1.0,8.83666515350342,0.0,21.767219543457,3.12662506103516,11.7669038772583,6.53862380981445,8.32371044158936,2.91478443145752,13.578441619873,2.01743268966675,4.0,8.72923469543457,12.7393999099731,2.0,1.19772231578827,2.51704263687134,0.755622088909149,0.0,2.78579568862915,512.0,10.2777090072632,1.30777072906494,3.02801132202148,7.54815816879272,0.0,0.0589255653321743,2437.080078125,5.65636825561523,0.0,0.29123842716217,3.95794034004211,34.7812728881836,54.0,0.0,2.83674836158752,33.8194770812988,2.7260901927948,4.0,50.3050651550293,0.0
InChI%3D1S%2FC3H3N%2Fc1-2-3-4%2Fh2H%2C1H2,0.0,0.0,0.0,0.0,1.16618525981903,23.7900009155273,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.097551591694355,-0.0246754568070173,0.0,0.0,80.1797943115234,0.0,4.0,-0.0208298843353987,62.993824005127,3.0,-0.00327045749872923,1.0,4.0,0.0,0.0,0.0,2.23167061805725,38.3469696044922,0.920530200004578,10.0,0.0,15.285120010376,0.0,0.0,0.0912870913743973,0.0,0.0,0.0,0.0,3.41421365737915,0.0,0.0,1.41421353816986,0.0,0.0,1.91421353816986,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.5,0.0,0.0,0.0,0.0,0.0,24.0100002288818,0.0,0.0,0.0,0.0,4.35998821258545,1.0,0.0,0.0,3.16618514060974,0.0,1.0,2.16618514060974,0.0
InChI%3D1S%2FC4H5Cl%2Fc1-3-4%282%295%2Fh3H%2C1-2H2,0.0,0.0,0.0,0.0,3.95173740386963,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.025400809943676,-0.0081307040527463,1.0,0.0,209.404479980469,0.0,5.0,-0.00440725963562727,185.763259887695,2.25,-0.000162440846906975,2.0,4.0,0.0,0.0,0.0,3.62545728683472,159.014999389648,1.61742353439331,18.0,0.0,63.688159942627,0.40824830532074,0.0,0.375792592763901,0.0,0.0,0.0,0.0,4.28445720672607,0.0,0.0,1.41421353816986,0.0,0.0,2.27005553245544,0.0,0.0,1.41421353816986,1.80209517478943,0.0,0.0,0.163663417100906,0.0,0.0,0.0,19.0,0.81649661064148,0.231455028057098,0.0,0.0,0.0,0.0,61.0099983215332,0.0,0.0,0.0,0.0,12.7127532958984,2.0,0.0,0.0,5.95173740386963,0.40824830532074,2.0,7.90347480773926,0.0
