SMILES,ATSc2,MDEC-44,SPC-4,ATSc3,khs.sssdAs,SPC-5,khs.dsssP,ATSc4,khs.dNH,SPC-6,ATSc5,TopoPSA,VPC-4,topoShape,MDEN-22,VPC-5,khs.ssssBe,khs.ssSe,MDEN-23,khs.sBr,VPC-6,VCH-3,khs.ssSnH2,Kier1,khs.ssBe,VCH-4,VP-0,khs.dO,khs.aasC,Kier2,VCH-5,VP-1,khs.ssssSi,khs.dsN,Kier3,khs.sF,khs.sSnH3,VC-3,khs.sssAs,VCH-6,VP-2,MDEC-22,khs.ssPbH2,VCH-7,VP-3,khs.aaN,VC-4,khs.ssPH,MDEC-23,khs.dS,VP-4,TPSA,khs.aaO,khs.sI,VC-5,VP-5,khs.sPbH3,khs.sSeH,VC-6,MDEC-24,khs.sssssAs,VP-6,khs.ssssSn,khs.ssO,khs.aaNH,khs.sCl,khs.ddssSe,VP-7,khs.ssBH,khs.sAsH2,khs.sssB,C4SP3,khs.ssssB,khs.aaS,khs.ssssC,khs.sssSnH,khs.dssSe,khs.sLi,khs.ssSiH2,C3SP2,MDEO-11,geomShape,khs.dssC,khs.aaCH,khs.aasN,ATSm1,C3SP3,MDEO-12,khs.ssS,SCH-3,khs.sSiH3,ATSm2,ECCEN,khs.ssAsH,MDEN-33,SCH-4,ATSm3,khs.sOH,PetitjeanNumber,WPATH,SCH-5,ATSp1,ATSm4,Zagreb,khs.tsC,SCH-6,ATSp2,ATSm5,khs.sssPbH,khs.sssNH,SCH-7,ATSp3,khs.ssNH,ATSp4,fragC,MDEC-33,ATSp5,khs.ddC,khs.dSe,MDEC-34,khs.ddsN,khs.sssSiH,khs.ssGeH2,khs.sssN,khs.ssssN,khs.sssssP,MDEN-11,khs.sssCH,WPOL,MDEN-12,C2SP1,khs.sssP,khs.sssGeH,SP-0,khs.tN,MDEN-13,C2SP2,SP-1,khs.dsCH,khs.ddssS,khs.sGeH3,SC-3,MDEO-22,C2SP3,khs.sNH2,SP-2,SC-4,SP-3,khs.aaaC,khs.ssNH2,khs.sNH3,SC-5,MDEC-11,khs.ssCH2,SP-4,khs.ssssGe,khs.tCH,SC-6,MDEC-12,C1SP1,khs.aaSe,SP-5,VAdjMat,khs.dssS,khs.sCH3,khs.sPH2,MDEC-13,C1SP2,SP-6,khs.sSH,khs.dCH2,ATSc1,MDEC-14,C1SP3,khs.ssssPb,SP-7
ClCc1ccccc1, -0.0180984567850828, 0.0, 0.492799282073975 0.492799282073975, -0.00326596526429057, 0.0, 0.594861328601837 0.594861328601837, 0.0, -0.000588597089517862, 0.0, 0.492799282073975 0.492799282073975, -2.02400333364494e-05, 0.0, 0.269713371992111 0.269713371992111, 0.666666686534882, 0.0, 0.272154480218887 0.272154480218887, 0.0, 0.0, 0.0, 0.0, 0.179808929562569 0.179808929562569, 0.0, 0.0, 6.125, 0.0, 0.0, 5.22775173187256, 0.0, 1.0, 3.11111116409302, 0.0, 3.06602072715759, 0.0, 0.0, 1.79999995231628, 0.0, 0.0, 0.117851130664349, 0.0, 0.0320750139653683, 1.88649046421051, 7.73231601715088, 0.0, 0.0226804614067078, 1.3057347536087, 0.0, 0.0, 0.0, 3.96540641784668, 0.0, 0.745271801948547, , 0.0, 0.0, 0.0, 0.425320863723755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.134448006749153, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0514344498515129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, , 0.0, 5.0, 0.0, 15.7127532958984, 1.0, 0.0, 0.0, 0.0, 0.0, 9.95173740386963, 60.0, 0.0, 0.0, 0.0, 10.9517374038696, 0.0, 0.400000005960464, 64.0, 0.0, 405.990844726562, 10.9034748077393, 34.0, 0.0, 0.102062076330185, 422.194244384766, 6.90347480773926, 0.0, 0.0, 0.0721687823534012, 472.745483398438, 0.0, 342.472320556641, 169.009994506836, 0.0, 126.100547790527, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0, 0.0, 0.0, 0.0, 0.0, 5.81999111175537, 0.0, 0.0, 0.0, 3.9318516254425, 0.0, 0.0, 0.0, 0.20412415266037, 0.0, 5.0, 0.0, 2.91228413581848, 0.0, 2.30209517478943, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.59538793563843, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.10517168045044, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.348461717367172, 0.0, 0.0, 0.0439471155405045, 0.0, 1.0, 0.0, 0.144337564706802
OC=Nc1scc(n1)c1ccc(o1)N(=O)=O, -0.326386094093323, 0.0, 2.32489705085754 2.32489705085754, 0.0941291823983192, 0.0, 3.07844924926758 3.07844924926758, 0.0, 0.015651723369956, 0.0, 3.4332103729248 3.4332103729248, -0.0442486554384232, 132.679992675781, 0.638012588024139 0.638012588024139, 1.0, 0.5, 0.831232190132141 0.831232190132141, 0.0, 0.0, 0.338061690330505, 0.0, 0.710414528846741 0.710414528846741, 0.0, 0.0, 12.4567470550537, 0.0, 0.0, 8.54774475097656, 2.0, 4.0, 5.55765581130981, 0.113077633082867, 4.95305967330933, 0.0, 1.0, 3.02972650527954, 0.0, 0.0, 0.335922211408615, 0.0, 0.107108667492867, 3.49143624305725, 1.68811810016632, 0.0, 0.114507332444191, 2.43306875228882, 1.0, 0.0, 0.0, 6.43187379837036, 0.0, 1.69454097747803, , 1.0, 0.0, 0.0239986199885607, 0.873986423015594, 0.0, 0.0, 0.0, 0.0, 0.0, 0.527350664138794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27908980846405, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.512992799282074, , 0.0, 3.0, 0.0, 26.3055934906006, 0.0, 0.75394743680954, 0.0, 0.0, 0.0, 23.2737045288086, 251.0, 0.0, 0.0, 0.0, 33.297119140625, 1.0, 0.5, 473.0, 0.235702261328697, 883.160827636719, 26.7674541473389, 80.0, 0.0, 0.287457466125488, 1021.52349853516, 27.6612510681152, 0.0, 0.0, 0.474854648113251, 1378.6884765625, 0.0, 1044.98400878906, 244.080001831055, 2.52506470680237, 950.627868652344, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 19.0, 0.0, 0.0, 0.0, 0.0, 11.5436058044434, 0.0, 0.0, 0.0, 7.70270872116089, 1.0, 0.0, 0.0, 1.03745746612549, 0.0, 4.0, 0.0, 6.80506134033203, 0.0, 5.40193462371826, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 4.29859685897827, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8039402961731, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.17042803764343, 0.0, 0.0, 0.50411731004715, 0.0, 2.0, 0.0, 1.28603947162628
Cl.CN(C)c1ccc(cc1)C(=N)c1ccc(cc1)N(C)C, -0.12785704433918, 0.0, 3.62239933013916 3.62239933013916, 0.0145726408809423, 0.0, 4.27267599105835 4.27267599105835, 0.0, 0.00919590424746275, 1.0, 4.8503532409668 4.8503532409668, -0.0166862476617098, 30.3299999237061, 1.4901270866394 1.4901270866394, 999.0009765625, 0.0, 1.38528668880463 1.38528668880463, 0.0, 0.0, 0.0, 0.0, 1.30079197883606 1.30079197883606, 0.0, 0.0, 19.0476188659668, 0.0, 0.0, 13.7379741668701, 0.0, 4.0, 8.58501815795898, 0.0, 6.62880229949951, 0.0, 0.0, 5.0, 0.0, 0.0, 0.8254514336586, 0.0, 0.0555555559694767, 5.25760221481323, 8.69190216064453, 0.0, 0.0526229776442051, 3.34475517272949, 0.0, 0.0, 0.0, 15.6241292953491, 0.0, 2.01914501190186, , 0.0, 0.0, 0.19073785841465, 1.24741947650909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.748991012573242, 0.0, 0.0, 0.0, 0.0, 0.0, 0.458151817321777, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, , 1.0, 8.0, 0.0, 29.7927169799805, 2.0, 0.0, 0.0, 0.0, 0.0, 22.1632976531982, -949673024.0, 0.0, 0.100000001490116, 0.0, 29.9971122741699, 0.0, 0.999000012874603, 20000000000.0, 0.0, 1356.64416503906, 31.3294811248779, 100.0, 0.0, 0.16666667163372, 1531.79089355469, 24.9971122741699, 0.0, 0.0, 0.19245009124279, 2054.35205078125, 0.0, 2036.25830078125, 1429.0400390625, 3.34162521362305, 1593.89318847656, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 30.0, 0.0, 0.0, 0.0, 0.0, 14.6983060836792, 0.0, 0.333333343267441, 1.0, 9.48607063293457, 0.0, 0.0, 0.0, 1.52578341960907, 0.0, 10.0, 0.0, 8.69686985015869, 0.0, 7.00575113296509, 0.0, 0.0, 0.0, 0.52578341960907, 0.908560276031494, 0.0, 5.05976009368896, 0.0, 0.0, 0.0, 5.90230369567871, 0.0, 0.0, 3.68780708312988, 5.39231729507446, 0.0, 4.0, 0.0, 3.77033662796021, 0.0, 2.66021800041199, 0.0, 0.0, 0.218730136752129, 0.0, 0.0, 0.0, 2.01539397239685
[Na+].[O-]S(=O)(=O)NC1CCCCC1, -0.250372052192688, 0.0, 1.00310969352722 1.00310969352722, 0.156504809856415, 0.0, 1.82685959339142 1.82685959339142, 0.0, -0.0299727711826563, 0.0, 2.03098368644714 2.03098368644714, -0.0174537599086761, 77.6100006103516, 0.370999544858932 0.370999544858932, 999.0009765625, 0.0, 0.554693698883057 0.554693698883057, 0.0, 0.0, 0.0, 0.0, 0.536377310752869 0.536377310752869, 0.0, 0.0, 12.0, 0.0, 0.0, 6.29649066925049, 2.0, 0.0, 4.88888883590698, 0.0, 4.2467188835144, 0.0, 0.0, 5.32544374465942, 0.0, 0.0, 0.216596737504005, 0.0, 0.102062076330185, 3.08376145362854, 6.08364343643188, 0.0, 0.0510310381650925, 2.16354775428772, 0.0, 0.0, 0.0, 3.04182171821594, 0.0, 1.64193844795227, , 0.0, 0.0, 0.0, 1.13808786869049, 0.0, 0.0, 0.0, 0.0, 0.0, 0.371736943721771, 0.0, 0.0, 0.0, 0.0, 0.0, 0.190688937902451, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, , 0.0, 0.0, 0.0, 23.4749336242676, 0.0, 0.0, 0.0, 0.0, 0.0, 20.9488468170166, 525163488.0, 0.0, 0.0, 0.0, 20.9859600067139, 0.0, 0.999000012874603, 11000000512.0, 0.0, 645.507568359375, 14.6682167053223, 52.0, 0.0, 0.102062076330185, 692.359802246094, 14.4983072280884, 0.0, 0.0, 0.0721687823534012, 886.458740234375, 1.0, 630.869201660156, 397.059997558594, 0.0, 481.382598876953, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 10.0, 0.0, 0.0, 0.0, 0.0, 8.31999111175537, 0.0, 0.0, 0.0, 5.07829809188843, 0.0, 1.0, 0.0, 1.76478433609009, 0.0, 6.0, 0.0, 5.26882028579712, 0.353553384542465, 2.62579250335693, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 2.25728917121887, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.57320654392242, 4.58496236801147, 0.0, 0.0, 0.0, 0.0, 0.0, 0.679412364959717, 0.0, 0.0, 0.285632908344269, 0.0, 0.0, 0.0, 0.378354996442795
ClC=C(C)C, -0.0164020527154207, 0.0, 0.40824830532074 0.40824830532074, 0.00947097409516573, 0.0, 0.0 0.0, 0.0, -0.00710728205740452, 0.0, 0.0 0.0, 0.0, 0.0, 0.327326834201813 0.327326834201813, 0.5, 0.0, 0.0 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 4.21124362945557, 0.0, 0.0, 2.25, 0.0, 1.94332885742188, 0.0, 0.0, 4.0, 0.0, 0.0, 0.288675129413605, 0.0, 0.0, 1.40467715263367, 0.0, 0.0, 0.0, 0.654653668403625, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, , 1.0, 0.0, 0.0, 12.7127532958984, 0.0, 0.0, 0.0, 0.0, 0.0, 5.95173740386963, 19.0, 0.0, 0.0, 0.0, 5.95173740386963, 0.0, 0.333333343267441, 18.0, 0.0, 202.214141845703, 5.90347480773926, 16.0, 0.0, 0.0, 177.264175415039, 0.0, 0.0, 0.0, 0.0, 156.362060546875, 0.0, 62.833869934082, 101.01000213623, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 4.28445720672607, 0.0, 0.0, 0.0, 2.27005553245544, 1.0, 0.0, 0.0, 0.40824830532074, 0.0, 0.0, 0.0, 1.80209517478943, 0.0, 0.816496610641479, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 3.32192802429199, 0.0, 2.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0280767232179642, 0.0, 2.0, 0.0, 0.0
CN(C)C(=O)Cl, -0.213312432169914, 0.0, 1.33333337306976 1.33333337306976, 0.158799096941948, 0.0, 0.0 0.0, 0.0, -0.0644742920994759, 0.0, 0.0 0.0, 0.0, 20.3099994659424, 0.551853060722351 0.551853060722351, 0.5, 0.0, 0.0 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 4.48935508728027, 1.0, 0.0, 2.22222232818604, 0.0, 1.88910484313965, 0.0, 0.0, 3.0, 0.0, 0.0, 0.327116638422012, 0.0, 0.0, 1.4707156419754, 0.0, 0.0, 0.0, 0.689666748046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.103509835898876, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, , 1.0, 0.0, 0.0, 14.8472108840942, 0.0, 0.0, 0.0, 0.0, 0.0, 7.78238534927368, 24.0, 0.0, 0.0, 0.0, 11.9277238845825, 0.0, 0.333333343267441, 29.0, 0.0, 208.077880859375, 8.56765842437744, 22.0, 0.0, 0.0, 196.128173828125, 0.0, 0.0, 0.0, 0.0, 200.129608154297, 0.0, 107.417663574219, 91.0299987792969, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 5.154700756073, 0.0, 0.0, 0.0, 2.64273452758789, 0.0, 0.0, 0.0, 0.666666686534882, 0.0, 0.0, 0.0, 2.48803377151489, 0.0, 1.33333337306976, 0.0, 0.0, 0.0, 0.333333343267441, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.58496260643005, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.237975254654884, 0.0, 0.0, 0.0, 0.0
OC1=NC(=O)N(/N=C/c2ccc(o2)N(=O)=O)C1, -0.331926554441452, 0.0, 2.72668361663818 2.72668361663818, -0.0476022139191628, 0.0, 3.53570580482483 3.53570580482483, 0.0, 0.119356773793697, 0.0, 3.72042369842529 3.72042369842529, 0.0525446124374866, 124.220001220703, 0.511464953422546 0.511464953422546, 1.0, 0.333333343267441, 0.549318671226501 0.549318671226501, 0.0, 0.0, 1.33748066425323, 0.0, 0.385653704404831 0.385653704404831, 0.0, 0.0, 13.4320983886719, 0.0, 0.0, 8.30821895599365, 3.0, 2.0, 5.76000022888184, 0.069376029074192, 4.42289352416992, 0.0, 2.0, 3.48444437980652, 0.0, 0.0, 0.340259999036789, 0.0, 0.0809129029512405, 3.04593586921692, 2.10257887840271, 0.0, 0.0591005310416222, 1.85359787940979, 0.0, 0.0, 0.0, 5.89347696304321, 0.0, 1.13159239292145, , 1.0, 0.0, 0.0216940492391586, 0.524005591869354, 0.0, 0.0, 0.0, 0.0, 0.0, 0.238036543130875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.114852920174599, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.946721136569977, , 2.0, 2.0, 0.0, 22.3122978210449, 0.0, 0.907166600227356, 0.0, 0.0, 0.0, 21.7924003601074, 280.0, 0.0, 0.16666667163372, 0.0, 31.5041694641113, 1.0, 0.5, 580.0, 0.214076176285744, 708.919311523438, 26.0607109069824, 86.0, 0.0, 0.411866188049316, 812.459045410156, 20.3727874755859, 0.0, 0.0, 0.523541152477264, 1088.00964355469, 0.0, 810.793273925781, 304.089996337891, 1.55034387111664, 655.753112792969, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 12.4138488769531, 0.0, 0.0, 0.0, 8.05855083465576, 1.0, 0.0, 0.0, 1.39516818523407, 0.0, 3.0, 0.0, 7.57446479797363, 0.0, 5.75431346893311, 0.0, 0.0, 0.0, 0.284517794847488, 0.0, 1.0, 4.50595331192017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8917977809906, 5.08746290206909, 0.0, 0.0, 0.0, 0.0, 2.0, 1.75651609897614, 0.0, 0.0, 0.63248199224472, 0.0, 2.0, 0.0, 1.01843369007111
ClCC(C)OC(C)CCl, -0.0949278473854065, 0.0, 0.910683631896973 0.910683631896973, -0.152585357427597, 0.0, 0.902368903160095 0.902368903160095, 0.0, 0.155173391103745, 0.0, 0.922589004039764 0.922589004039764, -0.00501362141221762, 9.22999954223633, 0.570414543151855 0.570414543151855, 1.0, 0.0, 0.546750724315643 0.546750724315643, 0.0, 0.0, 0.0, 0.0, 0.59486597776413 0.59486597776413, 0.0, 0.0, 9.0, 0.0, 0.0, 7.24494934082031, 0.0, 0.0, 4.83950614929199, 0.0, 4.04616928100586, 0.0, 0.0, 4.5, 0.0, 0.0, 0.333333343267441, 0.0, 0.0, 2.6831374168396, 0.25, 0.0, 0.0, 1.76840019226074, 0.0, 0.0, 0.0, 2.30940103530884, 0.0, 0.614792108535767, , 0.0, 0.0, 0.0, 0.372521251440048, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0874817743897438, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 25.1999759674072, 0.0, 0.0, 0.0, 0.0, 0.0, 12.5676584243774, 72.0, 0.0, 0.0, 0.0, 14.2318429946899, 0.0, 0.5, 100.0, 0.0, 426.856536865234, 17.7674465179443, 34.0, 0.0, 0.0, 417.704132080078, 9.90347480773926, 0.0, 0.0, 0.0, 441.519622802734, 0.0, 362.271209716797, 328.029998779297, 0.5, 267.556091308594, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 8.0, 0.0, 0.0, 0.0, 0.0, 7.27602100372314, 0.0, 0.0, 0.0, 4.20190715789795, 0.0, 0.0, 0.0, 0.577350258827209, 0.0, 2.0, 0.0, 3.26254224777222, 0.0, 2.19858479499817, 0.0, 0.0, 0.0, 0.0, 0.25, 2.0, 1.02022004127502, 0.0, 0.0, 0.0, 1.41421353816986, 0.0, 0.0, 0.569035589694977, 4.16992521286011, 0.0, 2.0, 0.0, 2.30940103530884, 0.0, 0.117851130664349, 0.0, 0.0, 0.268622517585754, 0.0, 4.0, 0.0, 0.0
CCCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCC(C)Cl, -0.0835181549191475, 0.0, 2.7381649017334 2.7381649017334, -0.0186861716210842, 0.0, 2.53317856788635 2.53317856788635, 0.0, 0.0327823050320148, 0.0, 3.59306883811951 3.59306883811951, -0.180416628718376, 0.0, 3.10478711128235 3.10478711128235, 1.0, 0.0, 2.87235450744629 2.87235450744629, 0.0, 0.0, 0.0, 0.0, 4.29627561569214 4.29627561569214, 0.0, 0.0, 30.0, 0.0, 0.0, 23.8782005310059, 0.0, 0.0, 18.5599994659424, 0.0, 14.6742601394653, 0.0, 0.0, 19.4380168914795, 0.0, 0.0, 2.42687106132507, 0.0, 0.0, 13.0655603408813, 15.774881362915, 0.0, 0.0, 8.28208923339844, 0.0, 0.0, 0.0, 19.1750354766846, 0.0, 5.12829208374023, , 0.0, 0.0, 0.0, 4.5401554107666, 0.0, 0.0, 0.0, 0.0, 0.0, 2.03588724136353, 0.0, 0.0, 0.0, 7.0, 0.0, 1.26159346103668, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 83.9892730712891, 0.0, 0.0, 0.0, 0.0, 0.0, 42.6621627807617, 961.0, 0.0, 0.0, 0.0, 62.3243217468262, 0.0, 0.5, 3578.0, 0.0, 2172.96240234375, 58.3725852966309, 128.0, 0.0, 0.0, 2277.75634765625, 57.3725852966309, 0.0, 0.0, 0.0, 2581.029296875, 0.0, 2464.1904296875, 4030.07006835938, 3.11108613014221, 2424.21606445312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0, 33.0, 0.0, 0.0, 0.0, 0.0, 22.9409465789795, 0.0, 0.0, 0.0, 14.1331367492676, 0.0, 0.0, 0.0, 2.14029908180237, 0.0, 21.0, 0.0, 12.2776536941528, 0.0, 7.77961683273315, 0.0, 0.0, 0.0, 0.0, 0.0454545468091965, 14.0, 4.82185363769531, 0.0, 0.0, 0.0, 3.21207308769226, 0.0, 0.0, 4.05855131149292, 5.90689039230347, 0.0, 2.0, 0.0, 1.62703013420105, 0.0, 1.91315162181854, 0.0, 0.0, 0.280548244714737, 0.0, 2.0, 0.0, 1.18601620197296
CC=C1CC(=C)[C@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)C23, -0.433201193809509, 0.0, 6.14030265808105 6.14030265808105, -0.023308115079999, 0.0, 9.12922191619873 9.12922191619873, 0.0, 0.0416607372462749, 0.0, 10.1778497695923 10.1778497695923, 0.0394603759050369, 96.3000030517578, 2.33882617950439 2.33882617950439, 0.5, 0.0, 3.05313563346863 3.05313563346863, 0.0, 0.0, 0.0, 0.0, 3.0152735710144 3.0152735710144, 0.0, 0.0, 19.7530860900879, 0.0, 0.0, 14.2337827682495, 2.0, 0.0, 7.93499994277954, 0.127240225672722, 8.3823356628418, 0.0, 0.0, 3.70408153533936, 0.0, 0.0, 1.03051054477692, 0.0, 0.225366085767746, 6.64001226425171, 6.79064464569092, 0.0, 0.301487296819687, 5.20849990844727, 0.0, 0.0395284704864025, 0.0, 17.0301761627197, 0.0, 3.59655332565308, , 0.0, 0.0, 0.255121737718582, 2.1889111995697, 0.0, 0.0, 0.0263523142784834, 2.16097092628479, 0.0, 1.39405238628387, 0.0, 2.0, 0.0, 0.0, 0.0, 0.880340337753296, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 3.0, 1.28049027919769, , 5.0, 0.0, 0.0, 30.0068016052246, 1.0, 1.90000247955322, 0.0, 0.0, 0.0, 30.1552925109863, 396.0, 0.0, 0.0, 0.0, 45.8666915893555, 2.0, 0.333333343267441, 1297.0, 0.19245009124279, 1778.20104980469, 55.0207138061523, 134.0, 0.0, 0.383276641368866, 2116.36743164062, 53.9104270935059, 0.0, 0.0, 0.594116032123566, 3054.9130859375, 0.0, 3172.7265625, 1900.06994628906, 7.17539262771606, 3077.3896484375, 0.0, 0.0, 2.47687101364136, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 46.0, 0.0, 0.0, 0.0, 0.0, 18.1898708343506, 0.0, 0.0, 2.0, 11.9012327194214, 2.0, 0.0, 0.0, 2.11449432373047, 0.200000002980232, 4.0, 0.0, 10.8681240081787, 0.117851130664349, 10.0932712554932, 0.0, 0.0, 0.0, 0.975561857223511, 0.200000002980232, 6.0, 7.70803689956665, 0.0, 0.0, 0.16666667163372, 3.2093026638031, 0.0, 0.0, 5.21671295166016, 5.64385604858398, 0.0, 1.0, 0.0, 3.49456715583801, 3.0, 3.9629693031311, 0.0, 1.0, 0.852550268173218, 0.63245552778244, 5.0, 0.0, 2.98981118202209
