SMILES,BCUTp-1h,BCUTc-1h,Weta2.unity,Wgamma3.unity,Wgamma1.unity,WD.unity,Wgamma2.unity,WG.unity,WT.unity,BCUTp-1l,BCUTc-1l,BCUTw-1h,Wlambda1.unity,Weta1.unity,WK.unity,BCUTw-1l,WA.unity,Wnu1.unity,Wlambda3.unity,WV.unity,Wnu2.unity,Wlambda2.unity,Weta3.unity
Cc1ccc(cc1)C(=O)c1cc(O)c(O)c(c1)N(=O)=O, 9.73146724700928, 0.192811384797096, , , , , , , , 3.75032472610474, -0.383293509483337, 16.0170726776123, , , , 11.9989995956421, , , , , , , 
Fc1ccc(cc1)C(=O)CCCN1CCC(O)(CC1)c1ccc(Br)cc1, 10.6549940109253, 0.1529141664505, , , , , , , , 4.00949621200562, -0.388943165540695, 78.9183349609375, , , , 11.8500003814697, , , , , , , 
CCN1C(=NC(c2ccccc2)C1=O)O, 9.71488571166992, 0.242035463452339, , , , , , , , 5.19502210617065, -0.356298863887787, 15.9982624053955, , , , 11.9962329864502, , , , , , , 
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1, 11.3792924880981, 0.0646676570177078, , , , , , , , 5.67252969741821, -0.378810465335846, 15.9949216842651, , , , 11.9942722320557, , , , , , , 
OC(=O)[C@@H]1N2[C@@H](CC2=O)OC1=CCO, 9.34494495391846, 0.283469557762146, , , , , , , , 4.2331600189209, -0.416763097047806, 15.9999933242798, , , , 11.9962921142578, , , , , , , 
Cc1nc2ccccc2c(=O)n1c1ccccc1C, 11.0042915344238, 0.214144393801689, , , , , , , , 5.75497579574585, -0.292707532644272, 15.9949197769165, , , , 11.8900003433228, , , , , , , 
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc12, 11.5614805221558, 0.148538872599602, , , , , , , , 5.74375629425049, -0.316101640462875, 34.9698524475098, , , , 11.8500003814697, , , , , , , 
C[C@@H]1N[C@H](C)CN(C1)c1c(F)c(N)c2c(c1F)n(cc(C(=O)O)c2=O)C1CC1, 11.2623138427734, 0.270528852939606, , , , , , , , 4.4589991569519, -0.331279784440994, 18.9994125366211, , , , 11.8999996185303, , , , , , , 
[Br-].[Br-].CC(=O)OC1CC2CC[C@@H]3C(CCC4(C)C3CC(N3CC[N+](C)(C)CC3)[C@@H]4OC(=O)C)[C@@]2(C)C[C@@H]1N1CC[N+](C)(C)CC1, 13.345874786377, 0.259991228580475, , , , , , , , 3.49900007247925, -0.347134351730347, 78.9193420410156, , , , 11.9942302703857, , , , , , , 
CNC1Cc2c(CC1)[nH]c1ccc(cc21)C(=N)O, 10.1674890518188, 0.163965657353401, , , , , , , , 5.05435276031494, -0.371631592512131, 15.9979457855225, , , , 11.9961957931519, , , , , , , 
OCc1c(CO)cnc(C)c1O, 8.94875907897949, 0.14958943426609, , , , , , , , 4.48718786239624, -0.406306385993958, 15.9987049102783, , , , 11.9962921142578, , , , , , , 
Nc1ccc(cc1)S(=O)(=O)Nc1nnc(C)s1, 11.6670360565186, 0.272777885198593, , , , , , , , 5.73764324188232, -0.322930753231049, 31.9737892150879, , , , 11.9979982376099, , , , , , , 
O=C1CCC2(C)C(=C1)C[C@H](C)C1[C@@H]2CCC2(C)[C@H]1CC[C@]2(C)O, 12.638635635376, 0.155556634068489, , , , , , , , 4.85097312927246, -0.414416790008545, 15.9982652664185, , , , 11.9961462020874, , , , , , , 
CC(=O)CCCCn1c(=O)c2n(C)cnc2n(C)c1=O, 9.71240520477295, 0.356769233942032, , , , , , , , 4.14845561981201, -0.332395851612091, 16.0061473846436, , , , 11.9885129928589, , , , , , , 
COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1, 8.86644744873047, 0.261293023824692, , , , , , , , 4.13014078140259, -0.388945609331131, 15.997932434082, , , , 11.8500003814697, , , , , , , 
COC1(N=C(O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(=C(CSc3nnnn3C)CO[C@H]12)C(=O)O, 11.1139192581177, 0.321162194013596, , , , , , , , 4.65464496612549, -0.385862737894058, 31.9720726013184, , , , 11.996150970459, , , , , , , 
OC(=O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O, 9.10061454772949, 0.292837589979172, , , , , , , , 3.96002745628357, -0.35008031129837, 16.0025520324707, , , , 11.9962491989136, , , , , , , 
[I-].[I-].[I-].CC[N+](CC)(CC)CCOc1c(cccc1OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC, 10.8157167434692, 0.167521595954895, , , , , , , , 5.78900003433228, -0.36738520860672, 126.906471252441, , , , 11.8900003433228, , , , , , , 
CCOC(=O)C, 5.37165546417236, 0.301574528217316, , , , , , , , 3.5645592212677, -0.3161361515522, 15.9959163665771, , , , 11.8900003433228, , , , , , , 
Clc1cc(c2cc(Cl)cc(N(=O)=O)c2O)c(O)c(c1)N(=O)=O, 10.900577545166, 0.192602291703224, , , , , , , , 3.88288950920105, -0.38378119468689, 34.969856262207, , , , 11.9989995956421, , , , , , , 
CCn1c(CC)nn(CCCN2CCN(CC2)c2cccc(Cl)c2)c1=O, 9.935715675354, 0.363275945186615, , , , , , , , 5.1550498008728, -0.330522418022156, 34.9688529968262, , , , 11.9884271621704, , , , , , , 
CNCC12CCC(c3ccccc13)c1ccccc21, 12.9516305923462, 0.143439918756485, , , , , , , , 5.67296266555786, -0.31846672296524, 14.0030832290649, , , , 11.8500003814697, , , , , , , 
O.O[C@@H](C[C@@H](Cc1ccccc1)C(=N[C@@H]1C(O)Cc2ccccc12)O)CN1CCN(Cc2cccnc2)C[C@H]1C(=NC(C)(C)C)O, 11.2736902236938, 0.178155601024628, , , , , , , , 1.43799316883087, -0.411204516887665, 16.0000343322754, , , , 11.9961004257202, , , , , , , 
CCn1cc(C(=O)O)c(=O)c2cc3OCOc3cc12, 10.3836479187012, 0.270504951477051, , , , , , , , 4.39220237731934, -0.343029826879501, 15.9989337921143, , , , 11.8500003814697, , , , , , , 
CO/N=C(/C(=NC1C(=O)N2C(=C(CS[C@H]12)CSc1nc(C)c(CC(=O)O)s1)C(=O)O)O)\c1csc(=N)[nH]1, 13.1130170822144, 0.30231985449791, , , , , , , , 4.28883028030396, -0.343726634979248, 31.9750785827637, , , , 11.9942979812622, , , , , , , 
COc1cc(ccc1Cc1cn(C)c2ccc(N=C(O)OC3CCCC3)cc12)C(=NS(=O)(=O)c1ccccc1C)O, 11.9369630813599, 0.279460370540619, , , , , , , , 5.17309045791626, -0.374131381511688, 31.9720726013184, , , , 11.9961109161377, , , , , , , 
N#Cc1ccc2c(COC2(CCCN(C)C)c2ccc(F)cc2)c1, 12.4083185195923, 0.202213853597641, , , , , , , , 4.12545251846313, -0.37281060218811, 18.9984073638916, , , , 11.8500003814697, , , , , , , 
OC(=O)c1cc(c(Cl)cc1NCc1ccco1)S(=O)(=O)N, 12.252366065979, 0.268666207790375, , , , , , , , 4.66960048675537, -0.363529711961746, 34.9688529968262, , , , 11.9989995956421, , , , , , , 
OCC(=O)[C@@]1(O)CC[C@H]2C3C=C(Cl)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C, 13.375524520874, 0.1900355219841, , , , , , , , 4.54824733734131, -0.392749786376953, 34.9688529968262, , , , 11.8900003433228, , , , , , , 
OCC(O)COc1ccccc1OC, 8.45204162597656, 0.137267976999283, , , , , , , , 4.02949333190918, -0.398878663778305, 15.9992876052856, , , , 11.9962491989136, , , , , , , 
CC(=O)CC(c1ccccc1)c1c(=O)oc2ccccc2c1O, 11.5965557098389, 0.267918616533279, , , , , , , , 4.6387939453125, -0.415873914957047, 15.9992952346802, , , , 11.9961566925049, , , , , , , 
COc1c2oc(=O)ccc2cc2ccoc12, 9.25864601135254, 0.262401759624481, , , , , , , , 4.23446321487427, -0.368193119764328, 15.9979267120361, , , , 11.8500003814697, , , , , , , 
CC(NCC(O)c1cc(O)cc(O)c1)Cc1ccc(O)cc1, 9.28659057617188, 0.130748718976974, , , , , , , , 4.77079200744629, -0.39099383354187, 15.9979333877563, , , , 11.8500003814697, , , , , , , 
ClCC1Nc2cc(Cl)c(cc2S(=O)(=O)N1C)S(=O)(=O)N, 13.1978235244751, 0.245266303420067, , , , , , , , 6.213059425354, -0.290104299783707, 34.969856262207, , , , 11.9989995956421, , , , , , , 
