SMILES,naAromAtom,nAtom,nAtomLC,nRotB,nB,nAromBond,LipinskiFailures,ALogP,MLogP,XLogP,AMR,ALogp2,nAtomLAC,nHBDon,nAtomP,LipinksiFailures
InChI%3D1S%2FC7H7Cl%2Fc8-6-7-4-2-1-3-5-7%2Fh1-5H%2C6H2, 6.0, 15.0, 2.0, 1.0, 8.0, 6.0, 0.0, 0.755900025367737, 2.11999988555908, 3.88299989700317, 10.3277997970581, 0.571384787559509, 0.0, 0.0, 6.0, 
InChI%3D1S%2FC8H5N3O4S%2Fc12-4-9-8-10-5%283-16-8%296-1-2-7%2815-6%2911%2813%2914%2Fh1-4H%2C%28H%2C9%2C10%2C12%29, 10.0, 21.0, 3.0, 3.0, 17.0, 10.0, 0.0, 0.239399999380112, 1.46000003814697, 1.51699995994568, 22.1271991729736, 0.0573123581707478, 0.0, 1.0, 16.0, 
InChI%3D1S%2FC17H21N3.ClH%2Fc1-19%282%2915-9-5-13%286-10-15%2917%2818%2914-7-11-16%2812-8-14%2920%283%294%3B%2Fh5-12%2C18H%2C1-4H3%3B1H, 12.0, 43.0, 3.0, 4.0, 21.0, 12.0, 0.0, 0.330000013113022, 2.89000010490417, 4.52699995040894, 35.1859016418457, 0.108900003135204, 0.0, 1.0, 16.0, 
InChI%3D1S%2FC6H13NO3S.Na%2Fc8-11%289%2C10%297-6-4-2-1-3-5-6%3B%2Fh6-7H%2C1-5H2%2C%28H%2C8%2C9%2C10%29%3B%2Fq%3B%2B1%2Fp-1, 0.0, 24.0, 5.0, 2.0, 11.0, 0.0, 0.0, , 1.46000003814697, 0.319000005722046, , , 0.0, 1.0, 5.0, 
InChI%3D1S%2FC4H7Cl%2Fc1-4%282%293-5%2Fh3H%2C1-2H3, 0.0, 12.0, 5.0, 0.0, 4.0, 0.0, 0.0, 1.8507000207901, 1.78999996185303, 1.71300005912781, 24.7329006195068, 3.42509055137634, 3.0, 0.0, 2.0, 
InChI%3D1S%2FC3H6ClNO%2Fc1-5%282%293%284%296%2Fh1-2H3, 0.0, 12.0, 6.0, 1.0, 5.0, 0.0, 0.0, 0.573800027370453, 1.46000003814697, 0.247999995946884, 24.9722995758057, 0.329246431589127, 0.0, 0.0, 3.0, 
InChI%3D1S%2FC8H6N4O5%2Fc13-6-4-11%288%2814%2910-6%299-3-5-1-2-7%2817-5%2912%2815%2916%2Fh1-3H%2C4H2%2C%28H%2C10%2C13%2C14%29%2Fb9-3%2B, 5.0, 23.0, 2.0, 3.0, 18.0, 5.0, 0.0, -1.28090000152588, 1.35000002384186, 0.880999982357025, 32.3368988037109, 1.64070475101471, 0.0, 1.0, 16.0, 
InChI%3D1S%2FC6H12Cl2O%2Fc1-5%283-7%299-6%282%294-8%2Fh5-6H%2C3-4H2%2C1-2H3, 0.0, 21.0, 9.0, 4.0, 8.0, 0.0, 0.0, 1.35950005054474, 1.78999996185303, 2.47000002861023, 40.8679008483887, 1.84824025630951, 3.0, 0.0, 0.0, 
InChI%3D1S%2FC23H41Cl7%2Fc1-3-4-18%2825%297-8-20%2827%2911-12-22%2829%2915-16-23%2830%2914-13-21%2828%2910-9-19%2826%296-5-17%282%2924%2Fh17-23H%2C3-16H2%2C1-2H3, 0.0, 71.0, 30.0, 20.0, 29.0, 0.0, 2.0, 0.927900016307831, 3.22000002861023, 10.7519998550415, 115.654296875, 0.860998392105103, 23.0, 0.0, 0.0, 
InChI%3D1S%2FC18H23NO6%2Fc1-3-12-8-11%282%2918%2823%2C10-20%2917%2822%2924-9-13-4-6-19-7-5-14%2815%2813%2919%2925-16%2812%2921%2Fh3-4%2C14-15%2C20%2C23H%2C2%2C5-10H2%2C1H3%2Ft14-%2C15%3F%2C18-%2Fm1%2Fs1, 0.0, 48.0, 2.0, 1.0, 27.0, 0.0, 0.0, 0.235100001096725, 2.67000007629395, 0.137999996542931, 88.9273986816406, 0.0552720092236996, 2.0, 2.0, 5.0, 
InChI%3D1S%2FC10H12N2O4%2Fc1-3-16-10-5-4-8%2811-7%282%2913%296-9%2810%2912%2814%2915%2Fh4-6H%2C3H2%2C1-2H3%2C%28H%2C11%2C13%29, 6.0, 28.0, 4.0, 4.0, 16.0, 6.0, 0.0, 0.0803000032901764, 1.89999997615814, 2.49499988555908, 28.3962001800537, 0.00644809007644653, 2.0, 1.0, 13.0, 
InChI%3D1S%2FC4H12N2.ClH%2Fc1-2-3-4-6-5%3B%2Fh6H%2C2-5H2%2C1H3%3B1H, 0.0, 20.0, 6.0, 3.0, 5.0, 0.0, 0.0, -1.52900004386902, 1.57000005245209, 1.07200002670288, 25.0181999206543, 2.33784103393555, 4.0, 2.0, 2.0, 
InChI%3D1S%2FC4H8N2O%2Fc7-5-6-3-1-2-4-6%2Fh1-4H2, 0.0, 15.0, 2.0, 1.0, 7.0, 0.0, 0.0, -0.666599988937378, 1.57000005245209, 0.46000000834465, 23.9046993255615, 0.444355547428131, 0.0, 0.0, 3.0, 
InChI%3D1S%2FC11H10N4%2Fc1-7-3-2-6-15-10%287%2913-8-4-5-9%2812%2914-11%288%2915%2Fh2-6H%2C1H3%2C%28H2%2C12%2C14%29, 0.0, 31.0, 0.0, 0.0, 17.0, 5.0, 0.0, -0.0604000017046928, 2.23000001907349, 1.86600005626678, 41.2084999084473, 0.00364816002547741, 0.0, 3.0, 3.0, 
InChI%3D1S%2FC7H16O2%2Fc1-6%288%295-9-7%282%2C3%294%2Fh6%2C8H%2C5H2%2C1-4H3, 0.0, 25.0, 9.0, 3.0, 8.0, 0.0, 0.0, 0.431699991226196, 2.00999999046326, 1.07099997997284, 37.693000793457, 0.186364889144897, 3.0, 1.0, 0.0, 
InChI%3D1S%2FC3H8N2O%2Fc1-2-5%284%293-6%2Fh3H%2C2%2C4H2%2C1H3, 0.0, 14.0, 6.0, 2.0, 5.0, 0.0, 0.0, -0.94650000333786, 1.46000003814697, -1.20700001716614, 24.0685005187988, 0.895862221717834, 2.0, 1.0, 4.0, 
InChI%3D1S%2FC10H9Cl4NO2S%2Fc11-9%2812%2910%2813%2C14%2918-15-7%2816%295-3-1-2-4-6%285%298%2815%2917%2Fh1-2%2C5-6%2C9H%2C3-4H2, 0.0, 27.0, 7.0, 3.0, 19.0, 0.0, 0.0, 2.72370004653931, 1.67999994754791, 2.76999998092651, 77.7978973388672, 7.41854190826416, 2.0, 0.0, 5.0, 
InChI%3D1S%2FC10H9N%2Fc11-10-6-5-8-3-1-2-4-9%288%297-10%2Fh1-7H%2C11H2, 10.0, 20.0, 0.0, 0.0, 12.0, 11.0, 0.0, -0.749899983406067, 2.45000004768372, 3.8529999256134, 4.22209978103638, 0.562350034713745, 0.0, 1.0, 11.0, 
InChI%3D1S%2FC8H9N3O2%2Fc1-6%2812%2910-11-8%2813%297-2-4-9-5-3-7%2Fh2-5H%2C1H3%2C%28H%2C10%2C12%29%28H%2C11%2C13%29, 6.0, 22.0, 7.0, 3.0, 13.0, 6.0, 0.0, -0.706499993801117, 1.78999996185303, 1.19599997997284, 21.3423004150391, 0.49914225935936, 2.0, 2.0, 12.0, 
