SMILES,ATSp4,ATSm5,ATSp5,MDEN-33,SP-0,topoShape,VPC-4,SP-1,VPC-5,SP-2,MDEC-33,VPC-6,SP-3,MDEC-34,khs.sF,khs.aasC,SP-4,khs.dO,TopoPSA,WPOL,SP-5,SP-6,SP-7,MDEN-11,MDEN-12,MDEO-22,khs.dssC,MDEN-13,khs.aaNH,ATSc1,ATSc2,MDEC-11,VAdjMat,ATSc3,MDEC-12,C3SP2,SPC-4,ATSc4,MDEC-13,C3SP3,khs.ssCH2,khs.sBr,SPC-5,ATSc5,MDEC-14,SPC-6,SC-3,SCH-5,ECCEN,WPATH,khs.aaCH,khs.ddsN,SC-4,MDEC-44,SCH-6,Kier1,SC-5,SCH-7,VCH-5,khs.ssssC,khs.ssNH,Kier2,SC-6,VCH-6,fragC,khs.sCl,Kier3,VCH-7,khs.ssO,khs.dsCH,VP-0,VC-3,MDEN-22,VP-1,Zagreb,VC-4,MDEN-23,khs.dsN,PetitjeanNumber,VP-2,VC-5,VP-3,khs.sssN,VC-6,khs.aaN,khs.tN,VP-4,khs.ssS,MDEC-22,C2SP2,VP-5,MDEC-23,VP-6,MDEC-24,C2SP3,khs.sOH,VP-7,ATSm1,khs.sNH2,ATSm2,khs.sssCH,ATSp1,ATSm3,khs.sCH3,MDEO-11,C1SP2,ATSp2,MDEO-12,C1SP3,ATSp3,ATSm4
InChI%3D1S%2FC8H7ClO2%2Fc1-11-8%2810%296-2-4-7%289%295-3-6%2Fh2-5H%2C1H3,607.418395996094,11.2801055908203,337.951782226562,0,8.26758480072021,0.75,0.472263514995575,5.23638200759888,0.436471730470657,4.40548419952393,1.31037068367004,0.440813153982162,3.509202003479,0,,2,2.18823194503784,,26.2999992370605,13,1.62847018241882,0.959815144538879,0.396574229001999,0,0,0,1,0,0,0.314682841300964,-0.194319486618042,0,4.45943164825439,0.0864085406064987,0.894427180290222,0,1.49750399589539,-0.0270384233444929,0.908560276031494,1,0,,1.6887115240097,-0.00654710503295064,0,1.85322630405426,0.6910440325737,0,113,160,4,,0,0,0.0833333358168602,9.09090900421143,0.117851130664349,0.131445854902267,0,0,0,4.13265323638916,0,0.0277777779847383,214.029998779297,,2.5,0.0453859269618988,,0,6.75979089736938,0.313982248306274,0,3.45481038093567,50,0,0,,0.428571432828903,2.43491053581238,0.0138888889923692,1.51729559898376,,0,,0,0.829810678958893,,3.30192732810974,0,0.554462015628815,7.06555128097534,0.241227939724922,0,5,,0.0808981508016586,20.2616920471191,0,13.9480133056641,0,539.812255859375,19.3421268463135,1,0,1,587.377868652344,0.5,0,724.135009765625,18.5639343261719
InChI%3D1S%2FC6H3Cl3%2Fc7-4-1-2-5%288%296%289%293-4%2Fh1-3H,608.571533203125,17.5679664611816,211.006469726562,0,6.85337114334106,0.666666686534882,0.940058887004852,4.19837713241577,0.854308247566223,3.87279200553894,1.65096366405487,1.04668736457825,2.86036610603333,0,,3,1.81676292419434,0,0,10,1.33160018920898,0.504473328590393,0.0680413842201233,0,0,0,0,0,0,0.130278706550598,-0.0240906346589327,0,4.16992521286011,-0.0340112745761871,0,0,1.47827804088593,-0.015189565718174,0,0,0,,1.55802857875824,-0.017867797985673,0,2.07593297958374,0.760079681873322,0,67,84,3,0,0,0,0.0680413842201233,7.11111116409302,0.16666667163372,0.20412415266037,0,0,0,2.72222232818604,0,0.0240562614053488,72.0299987792969,,1.70414197444916,0.0818317085504532,0,0,6.6337308883667,0.516309082508087,0,3.43887400627136,42,0,0,0,0.400000005960464,2.8092668056488,0.107142858207226,1.85577392578125,0,0,0,0,0.99654233455658,,1.65096366405487,0,0.642360031604767,5.85380077362061,0.21723484992981,0,6,0,0.0309294778853655,32.1382598876953,0,14.8552122116089,0,593.140625,23.7104244232178,0,0,0,647.274169921875,0,0,804.811279296875,29.4231777191162
InChI%3D1S%2FC6H2Cl4O%2Fc7-2-1-3%288%296%2811%295%2810%294%282%299%2Fh1%2C11H,1129.6298828125,43.2092895507812,508.041900634766,0,8.59385776519775,0.666666686534882,1.61306118965149,5.03658103942871,1.93038213253021,4.76762008666992,6.08364343643188,2.25873851776123,4.19739627838135,0,,5,2.53098058700562,0,20.2299995422363,17,1.52339267730713,0.753461480140686,0.181443691253662,0,0,0,0,0,0,0.283213078975677,-0.0156864617019892,0,4.45943164825439,-0.129288241267204,0,0,2.88704609870911,-0.0498832538723946,0,0,0,,3.69016051292419,-0.00721338065341115,0,5.03910875320435,1.04875481128693,0,89,140,1,0,0,0,0.0453609228134155,9.09090900421143,0.494387745857239,0.226804599165916,0,0,0,3.1640625,0,0.0180421955883503,59.0499992370605,,1.60000002384186,0.0899004265666008,0,0,8.06013774871826,0.666701912879944,0,4.06874370574951,54,0,0,0,0.400000005960464,3.38711333274841,0.241435110569,2.63020372390747,0,0,0,0,1.46405327320099,,0,0,0.698326647281647,3.04182171821594,0.331065982580185,0,6,1,0.0646923407912254,42.6254844665527,0,19.1390419006348,0,811.440490722656,32.2780838012695,0,0,0,921.857727050781,0,0,1244.58850097656,54.5675621032715
InChI%3D1S%2FC7H16O%2Fc1-2-3-4-5-6-7-8%2Fh8H%2C2-7H2%2C1H3,191.887344360352,4.33209180831909,142.963150024414,0,6.24264049530029,0.75,0,3.91421365737915,0,2.41421365737915,0,0,1.45710682868958,0,0,0,0.853553414344788,0,20.2299995422363,5,0.478553384542465,0.25,125,0,0,0,0,0,0,0.0834003686904907,-0.0336307436227798,0,4,-0.00744553282856941,2.00414514541626,0,0,-0.000603174732532352,0,0,6,0,0,-2.04328189283842e-05,0,0,0,0,74,84,0,0,0,0,0,8,0,0,0,0,0,7,0,0,473.010009765625,0,7.19999980926514,0,0,0,5.68985414505005,0,0,3.52333450317383,26,0,0,0,0.428571432828903,2.13782024383545,0,1.26166725158691,0,0,0,0,0.715356767177582,0,7.47342491149902,0,0.380833625793457,0,0.180901706218719,0,5,1,0.0559016987681389,8.77446937561035,0,7.33209180831909,0,301.117340087891,6.33209180831909,1,0,0,277.572448730469,0,2,238.547988891602,5.33209180831909
InChI%3D1S%2FC5H10O%2Fc1-3-5%282%294-6%2Fh4-5H%2C3H2%2C1-2H3,100.033668518066,1.33209192752838,18.7549419403076,0,4.99156379699707,1,0.331927299499512,2.80806040763855,0.0962250456213951,1.92166829109192,0,0,1.39384686946869,0,0,0,0.288675129413605,1,17.0699996948242,4,0,0,0,0,0,0,0,0,0,0.130912289023399,-0.0452584512531757,0.333333343267441,3.58496260643005,-0.0154173374176025,2.14913988113403,0,0.577350258827209,-0.00464056432247162,1.41421353816986,1,1,0,0.288675129413605,-0.000139789131935686,0,0,0.288675129413605,0,29,31,0,0,0,0,0,6,0,0,0,0,0,3.20000004768372,0,0,195.009994506836,0,3,0,0,1,4.27005577087402,0.235702261328697,0,2.26174092292786,20,0,0,0,0.5,1.52161490917206,0,0.876258373260498,0,0,0,0,0.0962250456213951,0,0.5,0,0,2,0,0,1,0,0,6.77446889877319,0,5.33209180831909,1,192.821578979492,5.33209180831909,2,0,1,177.770446777344,0,2,163.689727783203,4.66418409347534
InChI%3D1S%2FC9H19NO%2Fc1-4-10%285-2%298-6-7-9%283%2911%2Fh4-8H2%2C1-3H3,461.131866455078,8.49827766418457,348.683898925781,0,8.69023418426514,0.75,0.530093252658844,5.20190715789795,0.532946407794952,4.00727272033691,0,0.229917213320732,2.5485475063324,0,0,0,1.51169800758362,1,20.3099994659424,10,0.6910440325737,0.5,0.333333343267441,0,0,0,1,0,0,0.212510138750076,-0.0764127895236015,0.516459047794342,4.45943164825439,-0.0299161802977324,4.78212213516235,0,0.841260969638824,-0.00386526179499924,0.908560276031494,0,5,0,0.798985481262207,-0.0464363880455494,0,0.380900830030441,0.61237245798111,0,111,188,0,0,0,0,0,11,0,0,0,0,0,6.69421482086182,0,0,731.02001953125,0,6.40000009536743,0,0,0,7.89099597930908,0.302451461553574,0,4.42057418823242,42,0,0,0,0.428571432828903,2.8324511051178,0,1.89760756492615,1,0,0,0,1.09144377708435,0,4.61053943634033,1,0.446741998195648,1.83548891544342,0.269250333309174,0,2,0,0.157446950674057,12.1344566345215,0,10.8306474685669,0,496.725036621094,12.1627397537231,3,0,0,492.121978759766,0,6,521.638488769531,10.4982776641846
InChI%3D1S%2FC7H15NO%2Fc1-6%287%282%299%295-8%283%294%2Fh6H%2C5H2%2C1-4H3,332.662445068359,6.719651222229,223.703430175781,0,7.43915748596191,0.666666686534882,0.762503206729889,4.03658103942871,0.622258186340332,3.85084986686707,1,0.588755190372467,1.98126077651978,0,0,0,1.0157356262207,1,20.3099994659424,8,0.544331073760986,0,0,0,0,0,1,0,0,0.217788726091385,-0.0859978199005127,1.63976919651031,4.16992521286011,-0.0219308920204639,1.80720400810242,0,1.41222512722015,-0.0502094328403473,3.61440801620483,1,1,0,1.05219888687134,0.0894733890891075,0,1.36082768440247,0.977283895015717,0,63,96,0,0,0,0,0,9,0.235702261328697,0,0,0,0,3.92000007629395,0,0,457.019989013672,0,4.5,0,0,0,6.6399188041687,0.638203024864197,0,3.18905282020569,36,0,0,0,0.400000005960464,2.77394127845764,0.0833333358168602,1.33299338817596,1,0,0,0,0.676277458667755,0,0,1,0.257109791040421,1.41421353816986,0,0,0,0,0,10.1344566345215,0,8.83064746856689,1,389.071472167969,10.8303689956665,4,0,0,388.790344238281,0,3,438.173309326172,8.99655437469482
InChI%3D1S%2FC8H8O%2Fc1-2-4-8-7%283-1%295-6-9-8%2Fh1-4H%2C5-6H2,429.914581298828,4.33209180831909,172.57861328125,0,6.10444784164429,0.333333343267441,0.383061289787292,4.46632671356201,0.517322719097137,3.73552012443542,1,0.391456961631775,3.21632647514343,0,,2,2.68676519393921,,9.22999954223633,9,1.77903914451599,0.936856329441071,0.560395419597626,0,0,0,0,0,,0.163348972797394,-0.0787805616855621,0,4.16992521286011,-0.00726826256141067,0,0,0.942809045314789,0.00396911660209298,0,1,2,,1.5,0.000405217084335163,0,1.41421353816986,0.333333343267441,0.117851130664349,70,79,4,,0,0,0.25,5.76000022888184,0.0833333358168602,0.294627815485001,0.0510310381650925,0,,2.31952667236328,0,0.0867033451795578,252.009994506836,,0.996539771556854,0.0820131227374077,,0,5.13186311721802,0.160987630486488,0,3.17370295524597,46,0,0,,0.25,2.20618438720703,0.0240562614053488,1.6015739440918,,0,,,1.12212014198303,,6.86171770095825,0,0.609799146652222,6.6689920425415,0.268060028553009,0,6,,0.133440062403679,9.77446937561035,0,10.6641836166382,0,446.05419921875,13.9962759017944,0,0,0,506.601531982422,0,1,660.2373046875,9.66418361663818
InChI%3D1S%2FC6H7N%2Fc1-6-3-2-4-7-5-6%2Fh2-5H%2C1H3,198.001373291016,1,34.5189247131348,0,5.11288404464722,0.333333343267441,0.17076064646244,3.3938467502594,0.141621857881546,2.74318218231201,0,0.099380798637867,1.89384686946869,0,0,1,1.30671286582947,0,12.8900003433228,5,0.901047587394714,0.20412415266037,0,0,0,0,0,0,0,0.063943512737751,-0.0353187918663025,0,3.80735492706299,0.000924002146348357,1.51967132091522,0,0.40824830532074,0.00229194154962897,1,1,0,0,0.433012694120407,0.000131089851493016,0,0.40824830532074,0.288675129413605,0,45,42,4,0,0,0,0.102062076330185,5.14285707473755,0,0.102062076330185,0,0,0,2.34375,0,0.0248451996594667,154.009994506836,0,1.5,0.0248451996594667,0,0,4.25661468505859,0.16666667163372,0,2.26041460037231,30,0,0,0,0.25,1.53037548065186,0,0.809419989585876,0,0,1,0,0.448139190673828,0,3.53277564048767,0,0.235137492418289,2.55577230453491,0.0496903993189335,0,2,0,0,7.35998821258545,0,7.33237028121948,0,289.200286865234,8.33237075805664,1,0,0,297.859436035156,0,3,330.921539306641,5.33237028121948
InChI%3D1S%2FC11H16N2%2Fc1-2-4-11%285-3-1%2910-13-8-6-12-7-9-13%2Fh1-5%2C12H%2C6-10H2,855.038513183594,10.498556137085,602.770568847656,0,8.93287467956543,1,0.491451144218445,6.44948959350586,0.647195637226105,5.24377393722534,0,0.686801135540009,4.11615657806396,0,0,1,3.31708836555481,0,15.2700004577637,14,2.63299322128296,1.23148417472839,0.833333313465118,0,0,0,0,0,0,0.163870394229889,-0.0938497185707092,0,4.70043992996216,-0.0679421424865723,0,0,0.813052535057068,0.0949346721172333,0,1,5,,1.27903914451599,-0.0116459103301167,0,1.57908487319946,0.40824830532074,0,174,264,5,0,0,0,0.20412415266037,9.55102062225342,0,0.144337564706802,0,0,1,5.02422142028809,0,0.0879767164587975,744.02001953125,,3,0.0622089318931103,0,0,7.86949872970581,0.275965005159378,0,4.92002725601196,62,0,0.333333343267441,0,0.5,3.51174640655518,0,2.45862126350403,1,0,0,0,1.71087765693665,,14.7579183578491,0,1.18979144096375,4.74510288238525,0.49821862578392,0,5,0,0.287617295980453,13.7199764251709,0,14.8309259414673,0,756.440368652344,17.8309268951416,0,0,0,832.637878417969,0,5,1019.81597900391,14.6923589706421
