SMILES,WD.unity,Weta3.unity,BCUTw-1h,Weta2.unity,BCUTp-1l,BCUTw-1l,BCUTc-1h,WA.unity,Wnu1.unity,Wlambda3.unity,Wlambda1.unity,WK.unity,Weta1.unity,Wnu2.unity,Wlambda2.unity,WV.unity,WT.unity,BCUTp-1h,BCUTc-1l
InChI%3D1S%2FC9H13N%2Fc1-6-4-8%283%299%2810%295-7%286%292%2Fh4-5H%2C10H2%2C1-3H3,1.51886141300201,0.659164190292358,14.0030784606934,0.584233522415161,5.95733261108398,11.8900003433228,0.0673320740461349,15.5648097991943,0.0261712204664946,5.19851875305176,0.211562722921371,0.232309356331825,0.275463670492172,0.33074963092804,2.67371153831482,26.5891857147217,8.0837926864624,8.58035278320312,-0.302248537540436
InChI%3D1S%2FC6Cl5NO2%2Fc7-1-2%288%294%2810%296%2812%2813%2914%295%2811%293%281%299,1.05270993709564,0.513343691825867,34.9729766845703,0.396508097648621,4.28521871566772,11.9985628128052,0.213407382369041,10.861120223999,0.0266466271132231,3.81657528877258,0.174418315291405,0.187305822968483,0.142858132719994,0.390278935432434,2.55461192131042,19.1072826385498,6.54560565948486,11.2744207382202,-0.192789793014526
InChI%3D1S%2FC2HCl3%2Fc3-1-2%284%295%2Fh1H,1.71821308135986,0.572782099246979,34.9710578918457,0.508221209049225,5.76899528503418,11.998706817627,0.223458230495453,1.81976246833801,3.68428274000188e-11,1.67009437084198,1.01675556862801e-10,0.203877523541451,0.63720977306366,0.394829958677292,1.08961653709412,4.5794734954834,2.75971102714539,8.80775833129883,-0.144798561930656
InChI%3D1S%2FC6H12Br2O4%2Fc7-1-3%289%295%2811%296%2812%294%2810%292-8%2Fh3-6%2C9-12H%2C1-2H2,1.55180394649506,0.522736251354218,78.91943359375,0.450611412525177,5.58353137969971,11.9988508224487,0.11297070235014,12.7182912826538,0.137389555573463,4.90385103225708,0.993032336235046,0.258848935365677,0.578456282615662,0.184145212173462,1.33097565174103,26.4275798797607,7.22785902023315,8.9259614944458,-0.389359951019287
InChI%3D1S%2FC15H13NO%2Fc1-10%2817%2916-13-6-7-15-12%289-13%298-11-4-2-3-5-14%2811%2915%2Fh2-7%2C9H%2C8H2%2C1H3%2C%28H%2C16%2C17%29,1.33888912200928,0.553905010223389,15.9949188232422,0.500140726566315,4.78504514694214,11.8500003814697,0.137473955750465,32.7911186218262,0.0358103476464748,11.8778867721558,0.520842969417572,0.362494498491287,0.284843415021896,0.14753033220768,2.14575242996216,60.6103286743164,14.5444822311401,10.0872745513916,-0.348237693309784
InChI%3D1S%2FC6H12Cl2O%2Fc1-5%283-7%299-6%282%294-8%2Fh5-6H%2C3-4H2%2C1-2H3,1.61125802993774,0.620952129364014,34.9701538085938,0.508580207824707,5.41761922836304,11.9985628128052,0.117217294871807,10.0393848419189,0.104693494737148,3.43211698532104,0.628351807594299,0.17888431251049,0.481725782155991,0.323460757732391,1.94135415554047,20.2278881072998,6.00182294845581,8.07851314544678,-0.371339321136475
InChI%3D1S%2FC8H12N4O5%2Fc9-7-10-2-12%288%2816%2911-7%296-5%2815%294%2814%293%281-13%2917-6%2Fh2-6%2C13-15H%2C1H2%2C%28H2%2C9%2C11%2C16%29,1.46502196788788,0.542079627513885,34.9729766845703,0.49125000834465,6.57702541351318,11.9985313415527,0.270444065332413,20.4312801361084,0.183791905641556,5.2233567237854,1.57940280437469,0.205873608589172,0.43169230222702,0.208376616239548,1.79066979885101,43.7973480224609,8.59342956542969,11.6128044128418,-0.363728672266006
InChI%3D1S%2FC12H12N2O2%2Fc13-9-3-1-7%285-11%289%2915%298-2-4-10%2814%2912%2816%296-8%2Fh1-6%2C15-16H%2C13-14H2,1.66957747936249,0.574224889278412,15.9959230422974,0.563229382038116,5.27607822418213,11.8500003814697,0.194100216031075,26.7075748443604,0.0305179432034492,11.5340051651001,0.420625239610672,0.377626597881317,0.532123208045959,0.132646575570107,1.82825231552124,49.3602142333984,13.7828826904297,9.7813892364502,-0.359773725271225
InChI%3D1S%2FC12H17NO3%2Fc1-3-16-11-6-4-10%285-7-11%2913-12%2815%298-9%282%2914%2Fh4-7%2C9%2C14H%2C3%2C8H2%2C1-2H3%2C%28H%2C13%2C15%29,1.24622356891632,0.547609865665436,15.998706817627,0.421586185693741,4.64147853851318,11.9962186813354,0.206903293728828,39.0585823059082,0.0239951945841312,13.4856586456299,0.391393184661865,0.370075345039368,0.277027547359467,0.149237677454948,2.43426251411438,68.2184066772461,16.3113136291504,8.79890060424805,-0.417630821466446
InChI%3D1S%2FC12H13N3O%2Fc13-8-1-3-9%284-2-8%2916-10-5-6-11%2814%2912%2815%297-10%2Fh1-7H%2C13-15H2,1.24798679351807,0.558482348918915,15.9949188232422,0.393300831317902,5.5415997505188,11.8500003814697,0.162237480282784,32.1483993530273,0.0635479763150215,11.1060924530029,0.880318462848663,0.351290702819824,0.296203583478928,0.134731099009514,1.86640512943268,64.2488708496094,13.8528165817261,8.73480319976807,-0.310134172439575
InChI%3D1S%2FC12H4Cl4O2%2Fc13-5-1-9-10%282-6%285%2914%2918-12-4-8%2816%297%2815%293-11%2812%2917-9%2Fh1-4H,,,34.9720077514648,,6.6611008644104,11.9985237121582,0.168600007891655,,,,,,,,,,,9.7629337310791,-0.355713248252869
InChI%3D1S%2FC10Cl10O%2Fc11-2-1%2821%293%2812%296%2815%294%282%2C13%298%2817%295%282%2C14%297%283%2C16%299%286%2C18%2910%288%2C19%2920,1.11513686180115,0.384890705347061,34.9779205322266,0.419407874345779,7.08480787277222,11.9985313415527,0.227750346064568,14.105712890625,0.254110544919968,2.64364337921143,1.66711366176605,0.0522188954055309,0.310838311910629,0.342930942773819,2.24982738494873,30.5818576812744,6.5605845451355,16.7201957702637,-0.293300718069077
