STRUCTURE_SMILES,LOGINV_MRDD_mmol
C(O)(=O)C(C)O,-0.045381747149067
C1=C(F)C(N)=NC(=O)N1,-0.0651903714461054
C1=C(N)C=C(O)C(C(O)=O)=C1,-0.115954455105178
NCC(O)=O,-0.124553254237223
NC(=O)CCC(N)C(O)=O,-0.136247519895237
OC(=O)CCCCCN,-0.183181571443461
C1(C)OC(C)OC(C)O1,-0.276847536852512
CCO,-0.336596870951958
NC(CCCN)(C(=O)O)C(F)F,-0.341583609802121
O[C@H]1[C@H](O)[C@@H](CO)O[C@]1(O)CO,-0.364487565392854
O[C@@H]1[C@@](O)(CO)OC[C@@H](O)[C@H]1O,-0.364487613606041
NC(CO)(CO)CO,-0.393851611075259
C1([C@@H]([C@H]([C@@H](CO1)O)O)O)O,-0.443668859653666
NC(=N)NCCCC(N)C(O)=O,-0.457919460314467
[C@H]([C@@H]([C@@H](O)CO)O)([C@H](O)CO)O,-0.660163851888689
O[C@@H]([C@H](O)[C@H](O)CO)[C@H](O)CO,-0.739084338707884
OCC(O)CO,-1.03533509490669
C(O)(=O)CCC(O)=O,0.0722057672276584
C(=N)(N)N,0.0724006426064399
OC(=O)[C@@H](N)CS,0.083352740874967
n2([C@H]1[C@@H]([C@H](O)[C@H](O1)CO)O)nc(C(=O)N)nc2,0.0867240225215506
O=C2N1[C@]([C@@]([H])2NC([C@H]([C@](O)=O)C3=CSC=C3)=O)([H])SC(C)(C)[C@@H]1[C@@](O)=O,0.107693011865053
C1CNCCN1,0.111056849338614
O=C(O)[C@@H]3N4C(=O)[C@@H](NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)c2ccccc2)[C@H]4SC3(C)C,0.111896332641818
CC(C)C[C@H](N)C(O)=O,0.117844186347149
[O-]C(C1=C(I)C(NC(C)=O)=C(I)C(NC(C)=O)=C1I)=O.[Na+],0.118540321710262
OC(C[C@@H](C(O)=O)N)=O,0.124186865265869
CCOC(=O)c1c(C)cc2c(c1C)C(=O)N\N=C2\CO,0.14033171259796
N[C@@H](CCCCN)C(O)=O,0.164910417401461
O=C(O)CC[C@H](N)C(O)=O,0.16769916872478
Oc1ccc(C[C@H](N)C(O)=O)cc1O,0.171028620933962
N[C@@H](C\C1=C\N=C/N1)C(O)=O,0.19076454404352
[Na+].[Na+].[Na+].[O-]C(=O)P([O-])([O-])=O,0.20400861482035
C1=CC=CC(CC(N)C(O)=O)=C1,0.217981492178637
OC=1[C@H](OC(=O)C=1O)[C@@H](O)CO,0.245818786863858
O[C@H]1[C@H](N)[C@@H](O)[C@H](O)[C@@H](CO)O1,0.253267959998488
O[C@H]1[C@@H](O)[C@@H](CO)OC(O)[C@@H]1O,0.255648441367716
O[C@H]1[C@H](O)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,0.255648441367716
O[C@H]1[C@H](O)[C@@H](CO)OC(O)[C@@H]1O,0.255648489580903
Oc1ccc(C[C@H](N)C(O)=O)cc1,0.258130725503294
O=C2N1[C@]([C@@]([H])2NC(C(C(OC)=CC=C3)=C3OC)=O)([H])SC(C)(C)[C@@H]1[C@@](O)=O,0.279228208256834
OC(CC(=O)O)(CC(=O)O)C(=O)O,0.283580489776424
OC(=O)C(Cl)Cl,0.28626890510097
[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)(CNC)O,0.290510026004457
C3=CC=CC(C(=O)NC2=CC=C(S(=O)(=O)NC1SC=CN=1)C=C2)=C3C(=O)O,0.304740584403692
N21[C@H](SC([C@@H]1C(=O)O)(C)C)[C@@H](C2=O)NC([C@H](NC(N3C(N(S(=O)(=O)C)CC3)=O)=O)c4ccccc4)=O,0.305546111692439
O=C(O)[C@@H](N)CC1=CNC2=C1C=CC=C2,0.310109330041268
C2(C)=CC(C)=CC(OCC1OC(=O)NC1)=C2,0.315504212650093
O=C1[C@](NC(CC3=CC=CS3)=O)(OC)[C@]2([H])N1C(C(O)=O)=C(COC(N)=O)CS2,0.329857439053844
CC(=O)OC[C@H]2O[C@@H](N1\N=C/C(=O)NC1=O)[C@H](OC(C)=O)[C@@H]2OC(C)=O,0.339275419624646
O=C3N1/C(=C(\CS[C@@H]1[C@@H]3NC(=O)C(=N\OC)\c2csc(N)n2)COC(C)=O)C(O)=O,0.357425471454868
C1=CC=CC(C(O)C(=O)O)=C1,0.358138472961914
SCCN,0.364884266256161
C2(OC(C)=O)=CC=CC=C2C(=O)OC1=CC=C(NC(C)=O)C=C1,0.372115268976077
C1(OC)=CC=CC=C1OCC(O)COC(N)=O,0.382450219927484
N\1(C(NC(/C(=C/1)C)=O)=O)[C@@H]2O[C@H](CO)[C@H](C2)O,0.384225347391505
[C@@H]1(NC(N(N=O)C)=O)[C@H]([C@H](O)[C@H](O[C@@H]1O)CO)O,0.390183497725714
NC(=O)C1=C(C=CC=C1)OCC,0.393855553099113
C(OP(O)(=O)O)C(O)CO,0.411588716270828
C(OP(O)(=O)O)(CO)CO,0.411588716270828
CN(C)C(=N)NC(N)=N,0.412170271167041
OC1=CC=C(Cl)C=C1CC2=CC(Cl)=CC=C2O,0.429951299485696
OC(=O)C1=C(C=CC=C1)OC(=O)C,0.431526271638135
C(Br)(Br)(Br)CO,0.451412781575616
O=C1CCCN1[C@@H](CC)C(=O)N,0.452831269800872
O=C(O)[C@](N)(C)CC(C=C1)=CC=C1O,0.466387618134723
C3=CC=CC(NS(=O)(=O)C2=CC=C(N=NC1=CC=C(O)C(C(O)=O)=C1)C=C2)=N3,0.476459621994883
C1=C(O)C=CC(C(=O)CC)=C1,0.477626190319649
N2=CC=CC(C(=O)C(C)(C)C1=CN=CC=C1)=C2,0.479572930209755
C1(=CC=C(C=C1)O)NC(C)=O,0.480474348847712
C1(O)=CC=CC=C1C(=O)N,0.500663581404965
C1(Cl)=CC(Cl)=C2C(=C1O)N=CC=C2,0.50638554325178
N[C@H]2C[C@@H](N)[C@H](O)[C@@H](O)[C@@H]2O[C@H]1O[C@H](CN)[C@@H](O)[C@H](O)[C@H]1N,0.508338506512659
O=C4N1/C(=C(\CS[C@@H]1[C@@H]4NC(=O)[C@H](NC(=O)N2CCN(CC)C(=O)C2=O)c3ccc(O)cc3)CSc5nnnn5C)C(O)=O,0.508978850144284
O=C(C(Cl)Cl)N[C@H](CO)[C@@H](C1=CC=C([N+]([O-])=O)C=C1)O,0.509376474194954
C[N+](C)(C)C[C@H](O)CC([O-])=O,0.512756874977438
Nc1nc(cs1)\C(=N\OC(C)(C)C(O)=O)C(=O)N[C@@H]2C(=O)N([C@H]2C)S(O)(=O)=O,0.515069479275986
C1(I)=CC=CC(C(C)CCCCCCCCC(=O)OCC)=C1,0.522534818148405
C1=CC=CC(C(C)CCCCCCCCC(=O)OCC)=C1I,0.522534818148405
C1=C(I)C=CC(C(C)CCCCCCCCC(=O)OCC)=C1,0.522534818148405
O=C2N1/C(=C(\CS[C@@H]1[C@@H]2NC(=O)CC#N)COC(C)=O)C(O)=O,0.530614347506753
[C@@H]1([C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)O[C@H]2[C@@H]([C@H]([C@@H](O[C@@H]2CO)O)O)O,0.53440243310096
[C@@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O,0.53440243310096
C(=O)(O)C(CCC)CCC,0.538863538012984
O=C1C2=C(N=C(C=C2)C)N(C=C1C(=O)O)CC,0.541802399703143
C1C(=O)N2C1S(=O)(=O)C(C)(C)C2C(=O)O,0.543680252512986
CC(=O)OCC,0.547061039782589
C1=CC=CC(CC(=O)NC(N)=O)=C1,0.55190820523213
CC1(C(=O)N(C)C(=O)O1)C,0.553707089615462
CC(=O)NC1=CC=C(C=C1)OCC,0.55440604856094
C2(C)=C(OC)C(CC=C(C)CCC(=O)OCCN1CCOCC1)=C(O)C3=C2COC3=O,0.557802586092553
C1=CC=C(C)C(OCC(O)CO)=C1,0.561617362476352
C2=CC=CC(C1C(=O)N(C)C(=O)C1)=C2,0.577975320839389
O=C3N1/C(=C\CS[C@@H]1[C@@H]3NC(=O)C(=N\OC)/c2csc(N)n2)C(O)=O,0.583655302871556
C2=CC=CC(OC(=O)C1=C(O)C=CC=C1)=C2C(=O)O,0.587874470389399
N1(C)C(=O)C(C)(CC)OC1=O,0.5943017589732
N(S(=O)(=O)C1=CC=C(N)C=C1)C2=NC(C)=CC=N2,0.597977211786919
O=C1N(C(C(O)=O)=C(COC(C)=O)CS2)[C@@]2([H])[C@@]([H])1NC(CC3=CC=CS3)=O,0.598175320307323
C1=CC=CC=C1C(COC(N)=O)COC(N)=O,0.598863174814395
C2=C(N)C=CC(S(=O)(=O)NC1ON=C(C)C=1C)=C2,0.602879948717631
[C@@H]1([C@@H]2N(C1=O)[C@H](C(S2)(C)C)C(=O)O)NC(c4c(c3ccccc3)noc4C)=O,0.603616597864197
N(S(=O)(=O)C1=CC=C(N)C=C1)C2=NN=C(C)S2,0.607770498982709
