SMILES,WV.unity,Wnu1.unity,Wlambda3.unity,Wlambda1.unity,BCUTc-1l,BCUTw-1h,Wnu2.unity,WA.unity,WK.unity,Weta2.unity,BCUTw-1l,Weta1.unity,BCUTp-1h,WD.unity,BCUTc-1h,Weta3.unity,BCUTp-1l,WT.unity,Wlambda2.unity
InChI%3D1S%2FC9H8N4O2S%2Fc10-12-9-11-8%285-16-9%296-1-3-7%284-2-6%2913%2814%2915%2Fh1-5H%2C10H2%2C%28H%2C11%2C12%29,49.7718124389648,0.0740418061614037,7.68465280532837,0.794957041740417,-0.275425553321838,31.9720726013184,0.21021443605423,25.2473449707031,0.286807835102081,0.524204850196838,11.9989995956421,0.299634635448456,10.1661405563354,1.34106934070587,0.191225305199623,0.517229914665222,3.58039736747742,10.7365980148315,2.25698781013489
InChI%3D1S%2FC3H5N3O9%2Fc7-4%288%2913-1-3%2815-6%2811%2912%292-14-5%289%2910%2Fh3H%2C1-2H2,29.6813812255859,0.0902234837412834,3.70453572273254,0.658239543437958,-0.215013846755028,16.0174407958984,0.402003765106201,15.2339754104614,0.130829572677612,0.401122570037842,11.9989995956421,0.432918131351471,7.17100620269775,1.2241119146347,0.286354571580887,0.390071183443069,2.76168203353882,7.29565668106079,2.93288159370422
InChI%3D1S%2FC37H37N2O9S3%2Fc1-3-38%2825-27-7-5-9-35%2823-27%2950%2843%2C44%2945%2932-17-11-29%2812-18-32%2937%2831-15-21-34%2822-16-31%2949%2840%2C41%2942%2930-13-19-33%2820-14-30%2939%284-2%2926-28-8-6-10-36%2824-28%2951%2846%2C47%2948%2Fh5-24H%2C3-4%2C25-26H2%2C1-2H3%2C%28H%2C40%2C41%2C42%29%28H%2C43%2C44%2C45%29%28H%2C46%2C47%2C48%29,1297.86083984375,0.142786130309105,21.0454177856445,4.98006629943848,-0.302091628313065,31.97438621521,0.253809452056885,335.193359375,0.202553302049637,0.26440241932869,11.9989995956421,0.319398999214172,13.0747861862183,1.03802943229675,0.315474957227707,0.454227954149246,6.05255746841431,34.877799987793,8.85231494903564
InChI%3D1S%2FC3H5Br2Cl%2Fc4-1-3%285%292-6%2Fh3H%2C1-2H2,8.62317657470703,0.199644237756729,1.80762159824371,0.703384160995483,-0.191176891326904,78.91943359375,0.287291556596756,3.81304740905762,0.134798154234886,0.308224409818649,11.9988794326782,0.346866458654404,10.7745018005371,1.24349868297577,0.102133847773075,0.588407874107361,6.09799766540527,3.52318787574768,1.01218211650848
InChI%3D1S%2FC4H8N4O2%2Fc9-5-7-2-1-3-8%284-7%296-10%2Fh1-4H2,16.0971851348877,0.142135426402092,2.22881960868835,0.715124428272247,-0.274756222963333,16.0168724060059,0.414872825145721,7.73891067504883,0.0822438150644302,0.503776252269745,11.9989995956421,0.382645189762115,7.20128965377808,1.36044299602509,0.1746636480093,0.474021583795547,3.22278666496277,5.03128910064697,2.08734512329102
InChI%3D1S%2FC14H8O4%2Fc15-9-5-1-3-7-11%289%2914%2818%2912-8%2813%287%2917%294-2-6-10%2812%2916%2Fh1-6%2C15-16H,35.9274368286133,3.42347561854695e-07,7.90473079681396,3.78351046492753e-06,-0.360632389783859,15.9979286193848,0.284747153520584,24.8756771087646,0.286439388990402,0.535361468791962,11.8999996185303,0.22936287522316,10.1118154525757,1.30670952796936,0.252414166927338,0.541985213756561,5.49807024002075,11.051664352417,3.14692997932434
InChI%3D1S%2FC2H3F%2Fc1-2-3%2Fh2H%2C1H2,2.67729997634888,2.35348296406812e-10,1.27676117420197,4.45256942427363e-10,-0.25181770324707,19.0001316070557,0.325145691633224,0.785393536090851,0.256140738725662,0.655269145965576,11.9978256225586,0.566980123519897,3.85553574562073,2.02424478530884,0.116314359009266,0.801995575428009,2.7268283367157,1.89190638065338,0.615145206451416
InChI%3D1S%2FC6H9NO%2Fc1-2-7-5-3-4-6%287%298%2Fh2H%2C1%2C3-5H2,14.6738138198853,0.0504387579858303,3.80900716781616,0.284037590026855,-0.358079642057419,16.0059261322021,0.273166358470917,7.37819766998291,0.257296174764633,0.503626346588135,11.9886980056763,0.361160188913345,8.04600524902344,1.37969207763672,0.284700840711594,0.514905512332916,4.43168687820435,5.6313362121582,1.53829169273376
InChI%3D1S%2FC7H5NS2%2Fc9-7-8-5-3-1-2-4-6%285%2910-7%2Fh1-4H%2C%28H%2C8%2C9%29,21.6750888824463,0.0573158785700798,5.0206618309021,0.407186955213547,-0.266621947288513,31.9733581542969,0.235972762107849,11.1436586380005,0.280033528804779,0.435548156499863,11.9985752105713,0.168784245848656,11.6328220367432,1.16466879844666,0.147934168577194,0.560336410999298,7.1883978843689,7.10426092147827,1.67641198635101
InChI%3D1S%2FC9H15Cl6O4P%2Fc10-1-7%282-11%2917-20%2816%2C18-8%283-12%294-13%2919-9%285-14%296-15%2Fh7-9H%2C1-6H2,105.539916992188,0.119901716709137,6.42967462539673,1.51614809036255,-0.277468144893646,34.9739608764648,0.371619582176208,47.0865631103516,0.131359025835991,0.441572368144989,11.9985370635986,0.404011219739914,8.77903747558594,1.36988532543182,0.455063730478287,0.524301707744598,4.36599159240723,12.6449241638184,4.69910144805908
InChI%3D1S%2FC27H50O6%2Fc1-4-7-10-13-16-19-25%2828%2931-22-24%2833-27%2830%2921-18-15-12-9-6-3%2923-32-26%2829%2920-17-14-11-8-5-2%2Fh24H%2C4-23H2%2C1-3H3,442.529357910156,0.0255800783634186,40.9159660339355,1.17554044723511,-0.31383553147316,15.9999551773071,0.0840773433446884,210.731552124023,0.417756944894791,0.441489934921265,11.8900003433228,0.400945723056793,8.73419570922852,1.31396579742432,0.263991564512253,0.471530139446259,4.43016862869263,45.9553070068359,3.8638002872467
InChI%3D1S%2FC13H14N2%2Fc14-12-5-1-10%282-6-12%299-11-3-7-13%2815%298-4-11%2Fh1-8H%2C9%2C14-15H2,67.1517562866211,0.0958103984594345,9.76798725128174,1.22984099388123,-0.303443014621735,14.0040874481201,0.143217459321022,32.2311210632324,0.320729106664658,0.503461003303528,11.8500003814697,0.396458148956299,9.25030708312988,1.43612575531006,0.0998508855700493,0.536206662654877,5.58554124832153,12.8361959457397,1.83836734294891
