SMILES,bpol,RNCG,WNSA-1,WPSA-1,FPSA-3,DPSA-1,PPSA-3,RPSA,TPSA,RNCS,WNSA-2,WPSA-2,DPSA-2,RPCG,WNSA-3,WPSA-3,DPSA-3,RPCS,RHSA,THSA,FNSA-1,PNSA-1,apol,FNSA-2,PNSA-2,FNSA-3,PNSA-3,nHBAcc,FPSA-1,PPSA-1,nHBDon,FPSA-2,PPSA-2
InChI%3D1S%2FC3H6O%2Fc1-3-2-4-3%2Fh3H%2C2H2%2C1H3,8.47524166107178,0.910916030406952,10.1059865951538,40.8078651428223,0.036294873803854,136.065170288086,8.18961048126221,0.166853815317154,37.6490592956543,34.2951316833496,-4.13532257080078,16.6983890533447,92.3312377929688,0.192297324538231,-3.22523045539856,1.8479118347168,22.483247756958,0.507989287376404,0.833146154880524,187.991928100586,0.198491886258125,44.7879028320312,10.0827579498291,-0.0812219530344009,-18.3270015716553,-0.0633468180894852,-14.2936382293701,1.0,0.801508128643036,180.853073120117,0.0,0.327973395586014,74.0042343139648
InChI%3D1S%2FC7H10N2%2Fc8-9-6-7-4-2-1-3-5-7%2Fh1-5%2C9H%2C6%2C8H2,9.61207008361816,0.315056979656219,32.2961883544922,83.0803756713867,0.0609355270862579,149.509796142578,20.6980457305908,0.0787314400076866,26.7428073883057,3.65600228309631,-27.7464466094971,71.3763809204102,291.819885253906,0.164114952087402,-3.76561427116394,7.03053140640259,31.7841014862061,2.97342777252197,0.921268582344055,312.928436279297,0.279919862747192,95.0807266235352,21.1879291534424,-0.240485981106758,-81.6861724853516,-0.0326375998556614,-11.0860548019409,2.0,0.720080137252808,244.590530395508,2.0,0.618638455867767,210.133697509766
InChI%3D1S%2FC6H7ClN2%2Fc7-4-1-2-5%288%296%289%293-4%2Fh1-3H%2C8-9H2,6.75244903564453,0.364190459251404,46.8844795227051,62.9867515563965,0.0536097921431065,48.5786094665527,17.769947052002,0.101027503609657,33.4874153137207,4.75174856185913,-38.7690048217773,52.0840492248535,274.092742919922,0.150138646364212,-6.83293056488037,5.89017391204834,38.3840751647949,2.68034934997559,0.898972511291504,297.980895996094,0.426722079515457,141.444839477539,19.607551574707,-0.352858573198318,-116.961433410645,-0.0621903538703918,-20.6141300201416,2.0,0.57327789068222,190.023452758789,2.0,0.474046289920807,157.131317138672
InChI%3D1S%2FC9H11NO2%2Fc1-2-12-8-6-4-3-5-7%288%299%2810%2911%2Fh3-6H%2C2H2%2C1H3%2C%28H2%2C10%2C11%29,13.941276550293,0.285560727119446,52.2035140991211,102.901023864746,0.0510305538773537,128.728393554688,20.0975227355957,0.19767838716507,77.852294921875,3.50508379936218,-63.0596542358398,124.300117492676,475.73388671875,0.18167807161808,-8.68087387084961,7.91507053375244,42.139533996582,4.04320526123047,0.80232161283493,315.980834960938,0.336569875478745,132.552368164062,25.8787231445312,-0.406562298536301,-160.117691040039,-0.0559678934514523,-22.0420112609863,2.0,0.663430094718933,261.28076171875,2.0,0.801395773887634,315.6162109375
InChI%3D1S%2FC11H9N3%2Fc12-10-6-5-8-7-3-1-2-4-9%287%2913-11%288%2914-10%2Fh1-6H%2C%28H3%2C12%2C13%2C14%29,15.5316905975342,0.264376759529114,48.6504974365234,134.561111450195,0.0553511939942837,200.710601806641,23.6920967102051,0.120140351355076,51.4239463806152,9.67866706848145,-53.9255485534668,149.151214599609,474.442687988281,0.169619515538216,-7.74055576324463,10.14098072052,41.7761421203613,6.51404666900635,0.879859626293182,376.608306884766,0.265542656183243,113.660827636719,31.3283081054688,-0.294334769248962,-125.98477935791,-0.0422492660582066,-18.0840473175049,3.0,0.734457314014435,314.371429443359,3.0,0.814092636108398,348.457916259766
InChI%3D1S%2FC7H10N2O%2Fc1-10-7-3-2-5%288%294-6%287%299%2Fh2-4H%2C8-9H2%2C1H3,11.5280704498291,0.332431435585022,30.4586505889893,95.158073425293,0.0618152059614658,182.547836303711,21.9088230133057,0.145400524139404,51.5335083007812,4.08986043930054,-31.7982501983643,99.3432159423828,370.012420654297,0.118950508534908,-6.09245443344116,7.76502370834351,39.0985336303711,2.17356014251709,0.854599475860596,302.890991210938,0.242472887039185,85.9383316040039,21.9899291992188,-0.253137052059174,-89.7179794311523,-0.0485003441572189,-17.1897106170654,2.0,0.757527112960815,268.486175537109,2.0,0.790843844413757,280.29443359375
InChI%3D1S%2FC34H27N9O7S2%2Fc35-22-10-15-27%2826%2836%2918-22%2941-38-24-11-6-19%287-12-24%2920-8-13-25%2814-9-20%2940-42-32-28%2851%2845%2C46%2947%2916-21-17-29%2852%2848%2C49%2950%2933%2834%2844%2930%2821%2931%2832%2937%2943-39-23-4-2-1-3-5-23%2Fh1-18%2C39H%2C35-37H2%2C%28H%2C45%2C46%2C47%29%28H%2C48%2C49%2C50%29,44.7465896606445,0.0701452046632767,764.7275390625,765.411254882812,0.0448508597910404,0.552723944187164,55.4799652099609,0.15860877931118,196.197128295898,2.59689497947693,-3296.748046875,3299.69555664062,5332.66650390625,0.0689190328121185,-117.72216796875,68.6280364990234,150.648376464844,0.0831419602036476,0.841391205787659,1040.79064941406,0.499776571989059,618.217529296875,99.1574096679688,-2.15454196929932,-2665.14184570312,-0.0769356191158295,-95.1684188842773,16.0,0.500223398208618,618.770263671875,6.0,2.15646815299988,2667.52465820312
InChI%3D1S%2FC2H2Cl4%2Fc3-1-2%284%2C5%296%2Fh1H2,3.86641407012939,0.326859712600708,66.4524536132812,11.272274017334,0.00841780472546816,-197.926300048828,2.34681296348572,0.0,0.0,20.7014980316162,-33.980842590332,5.76414203643799,142.561660766602,0.558782637119293,-8.54992008209229,0.654271602630615,33.0146026611328,0.0,1.0,278.791534423828,0.854971826076508,238.358917236328,13.5735864639282,-0.437194764614105,-121.886199951172,-0.110002584755421,-30.6677894592285,0.0,0.145028159022331,40.4326248168945,0.0,0.074160985648632,20.6754550933838
InChI%3D1S%2FC4H6N2%2Fc1-4-5-2-3-6-4%2Fh2-3H%2C1H3%2C%28H%2C5%2C6%29,12.2520704269409,0.471505552530289,14.3582401275635,81.5087890625,0.0438458062708378,216.877716064453,13.5757150650024,0.0665862485766411,20.6167011260986,4.90210580825806,-9.15299797058105,51.9596939086914,197.377105712891,0.193905726075172,-2.20839715003967,4.20336723327637,20.7082271575928,4.0493745803833,0.933413743972778,289.00732421875,0.149772450327873,46.3731460571289,15.9079303741455,-0.095475971698761,-29.561653137207,-0.0230360459536314,-7.13251256942749,2.0,0.850227534770966,263.250854492188,2.0,0.54199755191803,167.815460205078
InChI%3D1S%2FC10H8Cl8%2Fc1-4-7%282-11%2C3-12%299%2816%296%2814%295%2813%298%284%2C15%2910%289%2C17%2918%2Fh5-6H%2C1-3H2,12.105655670166,0.124163895845413,191.634872436523,67.6051788330078,0.0142623083665967,-243.598510742188,7.26174306869507,0.0,0.0,6.56985950469971,-266.011413574219,93.8438262939453,706.767883300781,0.163230746984482,-29.9245491027832,3.69736170768738,66.0345687866211,0.0,1.0,509.156219482422,0.739217817783356,376.377349853516,40.3743438720703,-1.02612006664276,-522.455383300781,-0.115431807935238,-58.7728233337402,0.0,0.260782152414322,132.778854370117,0.0,0.361995875835419,184.312438964844
